family,n_features,median_separation_stability,median_axis1_shift_calibrated,pct_features_stable
BruteForce,83,0.01635975,0.6626959719375949,0.1566265060240964
DDoS,83,0.029223312102086,0.7575536276504801,0.024096385542168676
DoS,83,0.0363812507037072,0.6465737907325646,0.024096385542168676
Botnet,83,0.0389883900096401,0.8982810519027912,0.060240963855421686
ALL/POOLED,71,0.11002951209842113,0.3575382784394442,0.15492957746478872
Infiltration,83,0.1584941926565116,0.0468920799895408,0.27710843373493976
WebAttack,83,0.2583819449999999,0.7412186876083899,0.3132530120481928
