policy,K,direction,seed,f1_in_domain,benign_f1_in_domain,macro_f1_in_domain,acc_in_domain,sensitivity_in_domain,fpr_in_domain,precision_in_domain,specificity_in_domain,balanced_acc_in_domain,mcc_in_domain,f1_cross_domain,benign_f1_cross_domain,macro_f1_cross_domain,acc_cross_domain,sensitivity_cross_domain,fpr_cross_domain,precision_cross_domain,specificity_cross_domain,balanced_acc_cross_domain,mcc_cross_domain,f1_cross_covariate,benign_f1_cross_covariate,macro_f1_cross_covariate,acc_cross_covariate,sensitivity_cross_covariate,fpr_cross_covariate,precision_cross_covariate,specificity_cross_covariate,balanced_acc_cross_covariate,mcc_cross_covariate,f1_indomain_other_scaler,benign_f1_indomain_other_scaler,macro_f1_indomain_other_scaler,acc_indomain_other_scaler,sensitivity_indomain_other_scaler,fpr_indomain_other_scaler,precision_indomain_other_scaler,specificity_indomain_other_scaler,balanced_acc_indomain_other_scaler,mcc_indomain_other_scaler,gen_gap_f1,gen_gap_f1_covariate,gen_gap_macro_f1,gen_gap_macro_f1_covariate
top_importance,5,2017->2018,42,0.9727343346666216,0.98858206226019,0.9806581984634057,0.9839044119741377,0.9971609456919577,0.021456,0.949475825821583,0.978544,0.9878524728459788,0.9619069243366298,0.11473535962269095,0.47023036019137554,0.29248285990703327,0.3371378542060842,0.061944649270318876,0.040352,0.7764134843414082,0.959648,0.5107963246351594,0.04354736381267221,0.1633848041159363,0.4897729953383059,0.3265788997271211,0.36612668465925463,0.08925751652016459,0.007572,0.9638533511552415,0.992428,0.5408427582600823,0.15363596989077613,0.745169655575441,0.9221759935750856,0.8336728245752634,0.8807656156541058,0.605460480759719,0.007912,0.9686946062294252,0.992088,0.7987742403798594,0.7043172628624358,0.8579989750439306,0.8093495305506853,0.6881753385563725,0.6540792987362847
top_importance,5,2017->2018,43,0.9726658298735155,0.9885625404007757,0.9806141851371456,0.9838730809763878,0.9965278464734395,0.021244,0.9499198491277699,0.978756,0.9876419232367197,0.9617923211352435,0.11336121434416553,0.45862940653698037,0.28599531044057297,0.3277352759769522,0.06197471004613445,0.071092,0.6635239772060355,0.928908,0.4954413550230672,-0.017079688930732615,0.7100289692000916,0.6588730424757411,0.6844510058379163,0.6865243200359035,0.5534542483833491,0.01246,0.9901456794419575,0.98754,0.7704971241916745,0.5119648114354395,0.7335678065114486,0.9174833157382296,0.8255255611248391,0.8739924235950896,0.6024631516470472,0.016212,0.9376039164973212,0.983788,0.7931255758235236,0.6836179251695901,0.8593046155293499,0.26263686067342384,0.6946188746965727,0.2961631792992293
top_importance,5,2017->2018,44,0.9730579947891537,0.98871736846359,0.9808876816263719,0.9840952462331596,0.9975071718270848,0.021328,0.9497786568710559,0.978672,0.9880895859135423,0.9623667412745702,0.11342985101673635,0.4590744590744591,0.2862521550455977,0.32809823413498856,0.06198355145078609,0.069928,0.6672313695631483,0.930072,0.496027775725393,-0.014920228575546323,0.16286117950995035,0.4875434533570158,0.3252023164334831,0.36425794062936456,0.08917794387829983,0.013488,0.9373280796966769,0.986512,0.5378449719391499,0.14058158959932454,0.7366736339205733,0.9175396929291418,0.8271066634248576,0.8744082713834059,0.6101295874962904,0.018728,0.9294454490657023,0.981272,0.7957007937481453,0.6839695787793162,0.8596281437724174,0.8101968152792033,0.6946355265807742,0.6556853651928888
top_importance,5,2017->2018,45,0.9726557598571498,0.9885528415863588,0.9806043007217543,0.9838616878862969,0.9968542882579879,0.021392,0.9496042216358839,0.978608,0.987731144128994,0.9617883559744945,0.11475949437567448,0.47022954926101856,0.2924945218183465,0.33714398525605105,0.0619587955177615,0.040364,0.7764015067582539,0.959636,0.5107973977588808,0.04354669520757348,0.16338136668479247,0.48975361698011527,0.32656749183245387,0.3661107439293409,0.08925751652016459,0.007624,0.9636141496286963,0.992376,0.5408167582600824,0.15352042157252432,0.7475158958489472,0.9221691434022448,0.834842519625596,0.8810162636361047,0.6117222277178752,0.010092,0.9607998508436655,0.989908,0.8008151138589377,0.7040506970469076,0.8578962654814754,0.8092743931723574,0.6881097789034079,0.6540368088893005
top_importance,5,2017->2018,46,0.9727108683695034,0.9885718442246999,0.9806413562971017,0.9838901706115241,0.9971609456919577,0.021476,0.9494311117808838,0.978524,0.9878424728459788,0.9618743758148705,0.11338799139701483,0.4585780702551321,0.28598303082607346,0.32770339451712466,0.061994161136368055,0.07124,0.6631296222739224,0.92876,0.495377080568184,-0.017313183744239954,0.7117051507556186,0.6597604939294741,0.6857328223425463,0.6878792820785731,0.5555744172188124,0.012836,0.9898896653413065,0.987164,0.7713692086094062,0.5132329681037069,0.7370165546808856,0.9182344144678992,0.8276254845743924,0.8752542083226523,0.6070926896824612,0.016312,0.9376919433452001,0.983688,0.7953903448412306,0.686892246242074,0.8593228769724885,0.2610057176138848,0.6946583254710282,0.2949085339545554
top_importance,5,2018->2017,42,0.9837981592978999,0.9616251236583456,0.9727116414781227,0.9772157921132626,0.9975438577877744,0.068768,0.9704261306947589,0.931232,0.9643879288938872,0.9464670523608245,0.35944199920563513,0.863470113733153,0.611456056469394,0.7749152638924492,0.21932931051538232,0.000428,0.9951972709726649,0.999572,0.6094506552576912,0.4065850900373653,0.5122649918687017,0.8708991259273401,0.6915820588980208,0.7958386738443134,0.3723612622415669,0.032924,0.8205698341072091,0.967076,0.6697186311207834,0.4560376377320081,0.0011601500789889415,0.4675027305865168,0.23433144033275288,0.3053397766581118,0.0005817644260778999,0.005272,0.1997571341833637,0.994728,0.49765488221303894,-0.048168557643617355,0.6243561600922648,0.47153316742919826,0.3612555850087287,0.2811295825801019
top_importance,5,2018->2017,43,0.9836901592439726,0.9613822523130798,0.9725362057785263,0.9770661944940718,0.9973352006379957,0.068784,0.9704134478071609,0.931216,0.9642756003189978,0.9461006716435021,0.1167835620010991,0.8405851191707057,0.47868434058590237,0.729918254578598,0.06201404688891087,8e-06,0.9996810715994259,0.999992,0.5310030234444554,0.21197964112882967,0.5118575596618539,0.8707089884948562,0.691283274078355,0.7955652396821328,0.3722524483133841,0.033264,0.8190088580320805,0.966736,0.6694942241566921,0.45512292886519307,0.0010285956664663673,0.4693707039471584,0.23519964980681238,0.3068995157696736,0.0005145697507254372,3.2e-05,0.9732441471571907,0.999968,0.5002412848753627,0.011622001524703017,0.8669065972428736,0.47183259958211876,0.4938518651926239,0.2812529317001713
top_importance,5,2018->2017,44,0.9837976687895423,0.9616209182725076,0.972709293531025,0.9772145659032692,0.9975668454398687,0.068824,0.9704034223730587,0.931176,0.9643714227199344,0.9464659925314064,0.1882515951350519,0.837836729533098,0.5130441623340749,0.7296761514141673,0.10886338905925413,0.019292,0.6952868334596917,0.980708,0.5447856945296271,0.19547365129407895,0.5120266730173851,0.8708338211323541,0.6914302470748697,0.7957361360334957,0.372193095261648,0.033,0.8201634877384196,0.967,0.669596547630824,0.4557011559601828,0.0034512480430614434,0.46682327076698366,0.23513725940502256,0.30531770487823123,0.0017346835926517318,0.007952,0.33041428090266084,0.992048,0.4968913417963259,-0.0475955841950524,0.7955460736544904,0.4717709957721572,0.45966513119695007,0.2812790464561553
top_importance,5,2018->2017,45,0.9837990171287464,0.9616272681836769,0.9727131426562117,0.9772170183232559,0.9975438577877744,0.068764,0.9704278000354364,0.931236,0.9643899288938872,0.946469921950088,0.3594274320359233,0.8634602958504232,0.6114438639431732,0.7749010225298356,0.21932931051538232,0.000448,0.9949739723568479,0.999552,0.6094406552576912,0.4065054205661284,0.5119584361888052,0.8707201389226649,0.691339287555735,0.7955880258623145,0.3723612622415669,0.033276,0.8189987163029525,0.966724,0.6695426311207835,0.45519401101598883,0.0011601582611026088,0.4675084925151192,0.23433432538811091,0.30534468149808525,0.0005817644260778999,0.005256,0.20024345709068778,0.994744,0.49766288221303895,-0.04806251942550165,0.6243715850928231,0.4718405809399412,0.3612692787130385,0.28137385510047663
top_importance,5,2018->2017,46,0.9971346856909387,0.9935235749866074,0.995329130338773,0.9960270796214935,0.9968913621244835,0.005928,0.9973781280683598,0.994072,0.9954816810622418,0.9906585756088243,0.35944782640414374,0.863474040838751,0.6114609336214474,0.7749209604374947,0.21932931051538232,0.00042,0.9952866184854334,0.99958,0.6094546552576912,0.4066169641273404,0.5356216436012844,0.8816210400649103,0.7086213418330973,0.8113361246404056,0.37788109605302206,0.013392,0.9194185038991046,0.986608,0.682244548026511,0.5109445717653819,0.0011601562155633721,0.4675070520370306,0.23433360412629697,0.3053434552880919,0.0005817644260778999,0.00526,0.20012165450121655,0.99474,0.49766088221303895,-0.04808904641615228,0.6376868592867949,0.46151304208965427,0.38386819671732564,0.2867077885056757
axis1_stable,5,2017->2018,42,0.5591510336410459,0.809063430543565,0.6841072320923054,0.7335355606824461,0.5868928677416164,0.207168,0.5339134817001286,0.792832,0.6898624338708081,0.3696728032013862,1.059645689802853e-05,0.4682447185661359,0.23412765751151698,0.30569415134619465,5.304842790983889e-06,0.002812,0.00424929178470255,0.997188,0.49859665242139545,-0.0440005150047402,0.9344259356474309,0.8328259275298295,0.8836259315886302,0.9058013220996148,0.9678632623722196,0.234588,0.9032218140773671,0.765412,0.8666376311861098,0.7737617322191679,0.012281576657181692,0.8316239188015596,0.42195274772937064,0.7122931442080378,0.006212286081709368,0.002196,0.5335598980458793,0.997804,0.5020081430408547,0.03146157590247559,0.5591404371841479,-0.375274902006385,0.4499795745807884,-0.19951869949632484
axis1_stable,5,2017->2018,43,0.5625715233716372,0.8835006609546241,0.7230360921631307,0.8160044433051354,0.41092096151943813,0.020196,0.8916267788533774,0.979804,0.6953624807597191,0.5215058730751443,0.1078594351732991,0.4483440856800967,0.2781017604266979,0.3182493154682712,0.05943015378739251,0.09628,0.58269040725394,0.90372,0.4815750768936962,-0.0662722714416117,0.11039072974525953,0.44515102705565435,0.27777087840045694,0.31656205051739933,0.06114892285167129,0.105672,0.5669109329661142,0.894328,0.47773846142583565,-0.07803370611107566,0.5023629761973373,0.8773882976079749,0.6898756369026561,0.8032527272209405,0.3449005836383421,0.011408,0.9243862346890079,0.988592,0.6667462918191711,0.4876473406443676,0.4547120881983381,0.45218079362637764,0.4449343317364328,0.44526521376267375
axis1_stable,5,2017->2018,44,0.5577635695051135,0.8096374055520811,0.6837004875285972,0.7338431741148993,0.5829261054505885,0.205132,0.5346834707969259,0.794868,0.6888970527252942,0.3686101917238217,0.0,0.46911033291065224,0.23455516645532612,0.3064298773422144,0.0,0.0004,0.0,0.9996,0.4998,-0.01665572025836148,0.9350776459977914,0.8347998809086582,0.8849387634532249,0.9067871949342813,0.9680224076559492,0.231732,0.9043015015610288,0.768268,0.8681452038279746,0.7761887381547836,0.00501104797979798,0.8321116370729889,0.41856134252639343,0.7127004471787861,0.002512612523493916,0.000128,0.8881118881118881,0.999872,0.5011923062617469,0.037846579780196246,0.5577635695051135,-0.3773140764926779,0.4491453210732711,-0.20123827592462762
axis1_stable,5,2017->2018,45,0.5574809705605465,0.8094100004686255,0.683445485514586,0.7335697399527187,0.5828568602235632,0.205488,0.5342224801211319,0.794512,0.6886844301117816,0.3681210498126961,0.0,0.46884877478199727,0.23442438739099863,0.30620670712342174,0.0,0.001128,0.0,0.998872,0.499436,-0.027972832469389426,0.9349492671927847,0.834498763586425,0.8847240153896049,0.9066069420652565,0.9678473478438466,0.231924,0.9042141416344109,0.768076,0.8679616739219234,0.7757403455077251,0.005216894864803677,0.8317262944419377,0.4184715946533707,0.7121450340368567,0.002621426451676724,0.000952,0.5268389662027833,0.999048,0.5008347132258384,0.019985245914293317,0.5574809705605465,-0.37746829663223824,0.4490210981235873,-0.20127852987501893
axis1_stable,5,2017->2018,46,0.5644969529801009,0.8844963936092197,0.7244966732946603,0.817417186476402,0.4109704223958849,0.018232,0.9011344164154177,0.981768,0.6963692111979425,0.5265289277887681,0.1102553230830047,0.4438546150167384,0.27705496904987154,0.3155393913829319,0.061155995975392605,0.109024,0.55925680373862,0.890976,0.4760659979876963,-0.08336964347259367,0.11041610789685428,0.445373885450488,0.2778949966736711,0.31673862475644404,0.06114892285167129,0.105096,0.5682524032536357,0.894904,0.47802646142583566,-0.07710789429069594,0.5574568490511186,0.8819039130819151,0.7196803810665169,0.813560625480646,0.40782471065387277,0.022376,0.8805236966318533,0.977624,0.6927243553269364,0.5133830239602521,0.45424162989709627,0.45408084508324664,0.44744170424478874,0.44660167662098915
axis1_stable,5,2018->2017,42,0.9250248784394949,0.8391868623863117,0.8821058704129032,0.8977304079232785,0.909785843496528,0.12954,0.940783121955501,0.87046,0.890122921748264,0.7654149812980429,0.0,0.8318221896887321,0.41591109484436606,0.7120681306787433,0.0,0.0,0.0,1.0,0.5,0.0,0.2172767440917751,0.7447332090644517,0.4810049765781134,0.615018941012276,0.18557720842813336,0.211332,0.26203679130641266,0.788668,0.4871226042140667,-0.02894398245028532,0.0,0.46925400813311047,0.23462700406655523,0.30655249834155096,0.0,0.0,0.0,1.0,0.5,0.0,0.9250248784394949,0.7077481343477198,0.46619477556853717,0.4011008938347898
axis1_stable,5,2018->2017,43,0.9249550114785898,0.838992856812256,0.8819739341454229,0.8976261800738423,0.90979645318211,0.129904,0.9406272566889403,0.870096,0.8899462265910549,0.765138621653833,0.21055653234776991,0.7532441314027434,0.48190033187525666,0.6240109373664873,0.17414185379364922,0.19408,0.2662270885003932,0.80592,0.4900309268968246,-0.02309047128839729,0.21917164490340166,0.750104805250226,0.48463822507681387,0.6213819818280213,0.18454842219804135,0.20198,0.26978640945177945,0.79802,0.49128421109902065,-0.019846502869388726,0.9215677640535768,0.8315880265587644,0.8765778953061706,0.8929776179889911,0.9067001932731057,0.138064,0.9369310436819582,0.861936,0.8843180966365529,0.7543021720611797,0.7143984791308199,0.7057833665751881,0.40007360227016625,0.39733570906860904
axis1_stable,5,2018->2017,44,0.9249309994515917,0.8390305591326542,0.881980779292123,0.897611465553922,0.9096125519653558,0.129536,0.9407742291816404,0.870464,0.8900382759826779,0.7651771980088068,0.0,0.8318221896887321,0.41591109484436606,0.7120681306787433,0.0,0.0,0.0,1.0,0.5,0.0,0.2172767440917751,0.7447332090644517,0.4810049765781134,0.615018941012276,0.18557720842813336,0.211332,0.26203679130641266,0.788668,0.4871226042140667,-0.02894398245028532,0.0,0.46925400813311047,0.23462700406655523,0.30655249834155096,0.0,0.0,0.0,1.0,0.5,0.0,0.9249309994515917,0.7076542553598166,0.466069684447757,0.4009758027140096
