feature,imp_2017_bin,imp_2018_bin,imp_2017_multi,imp_2018_multi,imp_rank_2017,imp_rank_2018,imp_mean,imp_rank_mean,imp_perm_2017_bin,imp_perm_2018_bin,imp_perm_rank_2017,imp_perm_rank_2018,imp_perm_mean,imp_perm_rank_mean,imp_perm_std_2017_bin,imp_perm_std_2018_bin,c2st_auc,c2st_auc_calibrated,c2st_auc_null,marginal_shift,separation_stability,instability,verdict,flip_corroborated,n_family_flips,cardinality,variance_2017,variance_2018,wasserstein_qn,mmd,ks_statistic,zero_fraction_mean,zero_fraction_2017,zero_fraction_2018,zero_fraction_delta,mutual_info_norm_2017,mutual_info_norm_2018,benign_shift,attack_shift,benign_shift_raw,attack_shift_raw,max_attack_shift,e1_agreement_rate,wasserstein_qn_calibrated,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,n_modes_2017,n_modes_2018,modality_mismatch,max_mode_shift,max_mode_mass_shift,zero_frac_2017,zero_frac_2018,zero_frac_delta,tail_wasserstein_qn,quadrant,imp_rank_delta_L
Bwd IAT Min,0.0021020270508084306,0.00034172540771465444,0.03876145110894126,0.015101342839948228,39,48,0.0012218762292615425,43.5,0.0,2.774905205097748e-05,62,25,1.387452602548874e-05,43.5,0.0,4.524096776428416e-06,0.8502168749999999,0.6857296785016558,0.5233939867885703,0.4496131572691979,0.08194929653884389,0.9180507034611561,shifted,False,0,18101.0,86631108983428.75,30412095654537.246,0.11696634963174816,0.10119163816800669,0.217,0.3467168441016971,0.25169622278519593,0.4417374654181983,0.19004124263300237,0.2338407822626733,0.3504491207474249,0.7379956613544277,0.8959491140872257,0.8739849999999999,0.9507637499999999,0.9778445775375058,1.0,0.6173152573692189,0.1620317107051258,19406.08448990633,0.9934920083314368,scale_change,0.0,-2.0,26385.25,p75,4.0,4.0,False,0.4496131572691979,0.41375999999999996,0.25169622278519593,0.4417374654181983,0.19004124263300237,0.22749835159175796,Q3_noise,-9
Bwd IAT Std,0.0006027671763688153,0.0010851461069470093,0.021702783163396074,0.0043246702149105564,47,37,0.0008439566416579123,42.0,0.0,2.3612547397411365e-05,63,27,1.1806273698705683e-05,45.0,0.0,4.154419439234853e-06,0.6455693750000001,0.25839676469478107,0.5220751365059402,0.1475431884297797,0.10020216548412043,0.8997978345158796,restructured,False,0,46749.0,20467126156420.52,60590084073952.47,0.21669129085645425,0.014102276836549521,0.1593,0.5313585035012571,0.605130097716147,0.4575869092863673,0.1475431884297797,0.21723775296158118,0.4612557629513013,0.2921192997382852,0.7413128859545978,0.6594875,0.875605625,1.0,1.0,0.5165176703875294,1.9931274729293684,931529.0757330251,0.6794904002824451,shape_change,0.0,354.97957392570754,362109.75028697005,p75,3.0,4.0,True,,,0.605130097716147,0.4575869092863673,0.1475431884297797,0.05856684093420467,Q3_noise,10
Bwd IAT Total,0.002677074471770376,0.01978713474885266,0.003770727386425344,0.004029093170638845,33,8,0.011232104610311516,20.5,1.709001277040804e-05,1.3209393683063139e-05,23,39,1.5149703226735588e-05,31.0,9.435025961665e-06,8.473405709795568e-06,0.72238,0.418993641923907,0.5221739037085705,0.23187880235170708,0.1855293468164476,0.8144706531835524,shifted,False,0,49295.0,941550339691939.9,1329456869952825.5,0.08788426022130114,0.014907670887948976,0.1733,0.309227917495727,0.24628564353606736,0.37217019145538655,0.1258845479193192,0.39479798030595203,0.4699348934679708,0.5887553434371722,0.6625172763870782,0.8004849999999999,0.837725625,1.0,1.0,0.6672369434334783,1.1031160196274217,4506833.38822842,0.8473015883237287,shape_change,-1.0,73722.5,2595857.25,p75,4.0,4.0,False,0.23187880235170708,0.28672,0.24628564353606736,0.37217019145538655,0.1258845479193192,0.18076313771568855,Q1_good,25
Bwd Init Win Bytes,0.014572583100851326,0.2236200186994236,0.0241154257470588,0.01001381121082133,13,2,0.11909630090013747,7.5,0.0011131161463093565,9.266475390370768e-05,3,14,0.000602890450106532,8.5,0.00010026959791649013,1.575730391747964e-05,0.7364531249999999,0.4602207569183325,0.5117506306923219,0.14971398626993135,0.23367224708594117,0.7663277529140589,restructured,False,0,2215.0,19563551.16309019,517186553.14288133,0.22024358081790413,0.019793897669214466,0.1514,0.5798580788807125,0.6100711442122707,0.5496450135491543,0.06042613066311642,0.3863365825180052,0.6048411091772571,0.35248413955009117,0.9832609369784083,0.691171875,0.992291875,1.0,1.0,0.28071850398314907,2.704993848621743,8569.307925356421,0.14082809440512534,shape_change,0.0,0.0,8.0,p75,4.0,3.0,True,,,0.6100711442122707,0.5496450135491543,0.06042613066311642,0.14971398626993135,Q1_good,11
Bwd PSH Flags,0.0855515578657427,0.0030037692569070146,0.01972555895065014,0.028833288381133148,3,29,0.044277663561324856,16.0,9.800120616861862e-05,1.5167183729684435e-05,8,34,5.658419494915153e-05,21.0,1.933493152048581e-05,7.425253094989357e-06,0.6214575000000001,0.21788943007929892,0.5159987416633678,0.21529821259106294,0.10182932772799864,0.8981706722720013,restructured,False,0,137.0,649.4856753415127,128.93753459448328,0.263778808794044,0.04954447210612112,0.1931,0.5575163318724283,0.6293472256614412,0.4856854380834156,0.1436617875780256,0.23379390587164273,0.4355516767999285,0.192887286004116,0.4485283105154764,0.617265,0.7355056249999999,0.8982810519027912,1.0,0.49560839809124685,0.7839966476124983,1.0649739975071997,0.7441308555954672,shape_change,0.0,1.0,4.0,p75,4.0,3.0,True,,,0.6293472256614412,0.4856854380834156,0.1436617875780256,0.21529821259106294,Q2_fragile_shortcut,-26
Bwd Packet Length Max,0.0053957599004696875,0.0379489647353355,0.052927091128989426,0.010039252053774204,27,4,0.021672362317902594,15.5,0.0,0.0001004825922095239,57,13,5.024129610476195e-05,35.0,0.0,5.770654616600971e-06,0.783151875,0.5435004805561594,0.524976225026066,0.06664964244821225,0.7165299477547088,0.2834700522452912,restructured,True,1,2120.0,5062597.737624752,330912.3266045104,0.08496899794498973,0.025697445849089284,0.1947,0.12603809716366432,0.1580549153317206,0.09402127899560801,0.0640336363361126,0.8372525043813259,0.8558110534219028,0.47005216730760474,0.9823038127414979,0.7487181250000001,0.9915218750000001,1.0,1.0,4.642906501471671,0.2126251493795042,285.7558060545379,0.6491493373561242,shape_change,11.0,27.0,-275.0,p75,4.0,3.0,True,,,0.1580549153317206,0.09402127899560801,0.0640336363361126,0.06664964244821225,Q4_underused_stable,23
Bwd Packet Length Mean,0.004925212025149529,0.00961580033624756,0.013346090673649228,0.06510463370093253,28,13,0.007270506180698544,20.5,3.4820941385856524e-05,0.00015598069631157877,14,7,9.540081884871765e-05,10.5,9.504467343611178e-06,1.4751157160144143e-05,0.6968587500000001,0.3680992314048145,0.5202708003126338,0.49469045904066095,0.7574220042368248,0.24257799576317518,shifted,False,0,12930.0,449960.3712410878,26573.051363271545,0.060312171260856313,0.0625604879793551,0.1821,0.12603809716366432,0.1580549153317206,0.09402127899560801,0.0640336363361126,0.873836466455324,0.8667777476823222,0.3054118180271964,0.9834274891893341,0.6666568749999999,0.99219875,1.0,1.0,3.7927803232776585,0.18845228152543383,72.75569976102388,0.7876817043167466,shape_change,3.0,3.0,-138.47493131868134,p75,4.0,4.0,False,0.49469045904066095,0.41747999999999996,0.1580549153317206,0.09402127899560801,0.0640336363361126,0.07642852654263271,Q1_good,15
Bwd Packet Length Min,0.0068119455230473275,1.6189457053040783e-05,0.00346925781751994,0.004728508668367241,21,64,0.0034140674900501843,42.5,1.0410384537951068e-05,0.00010806618407441793,27,12,5.92382843061845e-05,19.5,1.9331598773279754e-06,1.551189245119211e-06,0.587334375,0.12980517406408096,0.5257778916851562,0.2977769514898004,0.2623316257253617,0.7376683742746384,shifted,False,0,344.0,5498.311121232858,3358.1643466960586,0.16585079035395175,0.003403918451983401,0.0926,0.5632321878121658,0.5276957656336311,0.5987686099907006,0.07107284435706951,0.4841341639152192,0.31507034036851717,0.24095474506880765,-0.0016830857716930497,0.630733125,0.5,0.0015807652494479625,0.8,0.027407997040321,0.836023456909625,-3.5783836575023242,0.9608721296646464,shape_change,0.0,0.0,-26.0,p75,3.0,3.0,False,0.2977769514898004,0.14739999999999998,0.5276957656336311,0.5987686099907006,0.07107284435706951,0.05391165395826979,Q1_good,-43
Bwd Packet Length Std,0.015713873175670624,0.027669002769496107,0.02563120648583322,0.04703330419108938,12,6,0.021691437972583365,9.0,0.00016430518603865646,6.204756980347319e-05,6,16,0.00011317637792106482,11.0,2.7189153158631766e-05,5.664142269986846e-06,0.730833125,0.43680136187124863,0.5220747054816803,0.5000225968274055,0.25569819585255565,0.7443018041474443,shifted,False,0,14389.0,931193.5049979236,51829.097043567424,0.23006876744383728,0.006796762144755775,0.1967,0.5502764016736563,0.6086477837673099,0.4919050195800028,0.11674276418730706,0.39926972212238826,0.6404146913353385,0.2992954576318321,0.9791931704730548,0.66057375,0.99013375,1.0,1.0,0.4907175711765815,0.20274069311375353,96.5959195918349,0.6519647419227292,shape_change,0.0,21.74396467988301,-148.62903703722964,p75,4.0,4.0,False,0.5000225968274055,0.40092,0.6086477837673099,0.4919050195800028,0.11674276418730706,0.24617574277871387,Q1_good,6
Bwd Packets/s,0.0016064914533386308,0.005027651083075263,0.011785348445594986,0.0017451623144676127,40,22,0.0033170712682069467,31.0,1.8358729575851385e-05,3.4470872112501994e-06,22,49,1.0902908393550793e-05,35.5,9.179364787925691e-06,6.309205521438713e-06,0.8222368750000001,0.6260377251222005,0.524649578468609,0.06309977059885298,0.180856444960198,0.819143555039802,restructured,True,2,68271.0,748565324.2223166,1848015941.9619038,0.06309977059885298,0.015846183629119714,0.2494,0.01932562350683186,0.02622145183717785,0.012429795176485868,0.013791656660691983,0.49325238868378607,0.3666610625907001,0.6202054888254501,0.7334083994946866,0.8173375,0.8718600000000001,1.0,1.0,10.0,0.13882958122900724,116.88368252311334,0.9045340320213991,shape_change,0.3179403697792025,-11.695823502822414,-5665.389407367358,p75,3.0,4.0,True,,,,,,,Q1_good,18
