feature,imp_2017_bin,imp_2018_bin,imp_2017_multi,imp_2018_multi,imp_rank_2017,imp_rank_2018,imp_mean,imp_rank_mean,imp_perm_2017_bin,imp_perm_2018_bin,imp_perm_rank_2017,imp_perm_rank_2018,imp_perm_mean,imp_perm_rank_mean,imp_perm_std_2017_bin,imp_perm_std_2018_bin,c2st_auc,c2st_auc_calibrated,c2st_auc_null,marginal_shift,separation_stability,instability,verdict,flip_corroborated,n_family_flips,cardinality,variance_2017,variance_2018,wasserstein_qn,mmd,ks_statistic,zero_fraction_mean,zero_fraction_2017,zero_fraction_2018,zero_fraction_delta,mutual_info_norm_2017,mutual_info_norm_2018,benign_shift,attack_shift,benign_shift_raw,attack_shift_raw,max_attack_shift,e1_agreement_rate,wasserstein_qn_calibrated,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,n_modes_2017,n_modes_2018,modality_mismatch,max_mode_shift,max_mode_mass_shift,zero_frac_2017,zero_frac_2018,zero_frac_delta,tail_wasserstein_qn,quadrant,imp_rank_delta_L
Bwd RST Flags,0.0002607333717775564,0.0006762457389421498,0.0014347907076040964,0.00030920562151660815,59,42,0.0004684895553598531,50.5,0.0,-3.4470872113760245e-07,47,67,-1.7235436056880122e-07,57.0,0.0,1.289781932729909e-06,0.5250462499999999,0.02538732346352671,0.5126743562500485,0.0604694640051884,0.008951520875827531,0.9910484791241725,collapsed,True,1,5.0,0.1619623580789155,0.14930872765934808,,,,0.8618530385897252,0.8771714699327606,0.8465346072466898,0.030636862686070798,0.12661398351981443,0.008736365243700715,0.10661698896513946,0.3579218147153055,0.566356875,0.685251875,0.7428094765280503,1.0,,0.8297872340425536,0.04255319148936175,0.7191489361702128,shape_change,0.0,0.0,0.0,none,2.0,2.0,False,,,,,,,Q3_noise,17
Bwd URG Flags,0.0,0.0,0.0,0.0,70,71,0.0,70.5,0.0,0.0,43,65,0.0,54.0,0.0,0.0,0.5,0.0,0.5,0.00040624895682417095,0.0,1.0,weak,False,0,1.0,1.9047972795680935e-06,0.0,,,,0.9999997619002267,0.9999995238004533,1.0,4.7619954668398634e-07,0.0,0.0037081739546002876,0.0,0.0,0.5,0.5,0.0,0.0,,,,,identical,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q3_noise,-1
CWR Flag Count,1.5576886327199689e-06,0.0007724005865241136,8.426986540131674e-07,0.014001581235280395,69,40,0.0003869791375784168,54.5,0.0,0.00019934738577120174,54,6,9.967369288560087e-05,30.0,0.0,7.150109794104335e-06,0.6475,0.2698191691205708,0.5172428731449313,0.37405769089491175,5.057364745212853e-05,0.9999494263525479,restructured,False,0,9.0,0.0009464826194026503,0.2642361690024292,0.4997178004890024,0.06295775413701099,0.3009,0.8541286356559543,0.9996361835463533,0.7086210877655554,0.29101509578079787,0.0,0.0206626958953176,0.2700273482850486,0.40709339417112217,0.64425,0.7120000000000001,1.0,1.0,0.3270466635306948,,,,identical,0.0,0.0,1.0,p75,1.0,2.0,True,,,0.9996361835463533,0.7086210877655554,0.29101509578079787,0.37405769089491175,Q3_noise,29
Down/Up Ratio,0.002555178510124714,0.001491072554878327,0.05953655600666093,0.004544197957163645,35,34,0.0020231255325015205,34.5,1.0410384537958469e-05,9.996552912738822e-06,26,42,1.0203468725348645e-05,34.0,3.3865990106617063e-06,2.965296541556883e-06,0.6191937500000001,0.2070565567950286,0.51975610207352,0.18462162790813955,-0.07115557284249949,1.0711555728424995,flipped,True,2,1458.0,0.06843224810378194,0.1129812327102123,0.18462162790813955,0.0079580664126222,0.0802,0.019766853089299315,0.026237166422217566,0.013296539756381065,0.0129406266658365,0.22241948958116994,0.23427752732382756,0.2076727500518635,0.5551810631700762,0.6158474999999999,0.786416875,0.996970833071892,0.8,0.030778835028083082,0.8611426253631043,0.15071590275908092,0.9467036732833466,shape_change,0.017857142857142905,0.0,0.0,p25,4.0,3.0,True,,,,,,,Q2_fragile_shortcut,1
ECE Flag Count,3.521514868910318e-06,0.0005131099553855106,1.7889738205533423e-07,0.012283653459053138,68,44,0.00025831573512721047,56.0,0.0,0.0003798024012830766,52,3,0.0001899012006415383,27.5,0.0,1.5323068439093387e-05,0.6405,0.2533652013441946,0.5185062353814457,0.29103277580738485,2.5700872191156457e-05,0.9999742991278089,restructured,False,0,5.0,0.0030604700902672147,0.5119072155932524,0.4997898541492708,0.09096744880843555,0.2877,0.8541569392073001,0.9996733271109925,0.7086405513036077,0.29103277580738485,0.0,0.08800814951227111,0.24818714960530544,0.4079724886361611,0.636573125,0.71175,1.0,1.0,0.3451378204589897,,,,identical,0.0,0.0,1.0,p75,1.0,2.0,True,,,0.9996733271109925,0.7086405513036077,0.29103277580738485,0.1843618006822363,Q3_noise,24
FIN Flag Count,0.005479262916430838,0.07914089056209349,0.0013024096752391144,0.002738428089131375,26,3,0.04231007673926216,14.5,5.8872519456580155e-05,0.03331752530236109,9,2,0.016688198910908836,5.5,1.1029473231485498e-05,0.00020387373126730328,0.51435125,-0.018940928923361296,0.5233788964457943,0.07616062603605858,0.07016042858470399,0.929839571415296,stable,False,0,13.0,0.9565704622147708,0.7516165499947342,,,,0.6545497343956815,0.6334015886016876,0.6756978801896755,0.042296291587987866,0.11976401477015186,0.252540222494868,0.12007995265514297,0.7225508424454349,0.5809737500000001,0.8654093749999999,0.6621875865886804,0.0,,0.8484666986104457,-0.011619549592716874,0.8856011827671362,shape_change,0.0,0.0,-1.0,p75,3.0,2.0,True,,,,,,,Q2_fragile_shortcut,23
FWD Init Win Bytes,0.05657987163075178,0.3900230932492665,0.020296690066085435,0.08907001020481262,4,1,0.22330148244000914,2.5,0.00604986933172504,0.09259982255174094,1,1,0.04932484594173299,1.0,0.00018625464321858965,0.0004750244410368325,0.7557843750000001,0.486319624644364,0.5245766887027321,0.5000235993769765,0.3955908808628803,0.6044091191371197,shifted,False,0,605.0,236089317.46051937,126753414.70823501,0.18423481687408438,0.005249493378609138,0.2204,0.4414901439833425,0.48135393055105813,0.40162635741562697,0.07972757313543116,0.6017525675005421,0.5672478407475383,0.43752212311053124,0.9546858411071724,0.733715625,0.9786699999999999,1.0,1.0,0.15558285603600333,0.5259114649778704,1142.8634715302933,0.6048649392742882,shape_change,0.0,7680.0,-21008.0,p75,4.0,4.0,False,0.5000235993769765,0.65842,0.48135393055105813,0.40162635741562697,0.07972757313543116,0.19049961829809156,Q1_good,3
Flow Bytes/s,0.0006119823535781383,0.0066368694804353895,0.03617239616451608,0.10136939067328941,46,17,0.003624425917006764,31.5,4.271847448375314e-05,3.46432264735815e-05,13,21,3.868085047866732e-05,17.0,1.9331598773678334e-06,6.956372309760124e-06,0.7318568750000001,0.4307729913654047,0.5289346413073498,0.08056337863818137,0.19119143110141582,0.8088085688985842,restructured,True,2,82699.0,15819952251764.084,571894041962.4517,0.05373016085080425,0.007630679385305594,0.1536,0.10364867125920604,0.14393036057829672,0.06336698194011535,0.08056337863818137,0.46022304955552873,0.41543210685788867,0.574916720813323,0.7966760793032526,0.7954293750000001,0.9029393749999999,1.0,1.0,6.293282554031069,0.2662547243759414,13413.794134927455,0.959835318255689,shape_change,90.74593398852849,-1662.3949411852632,43482.36358031151,p75,2.0,4.0,True,,,0.14393036057829672,0.06336698194011535,0.08056337863818137,0.06492253381266903,Q1_good,29
Flow Duration,0.029392339349477256,0.0057533967833947935,0.00834016010670149,0.025698471679052193,6,19,0.017572868066436025,12.5,-6.388398708641792e-06,7.583591864790407e-06,67,44,5.975965780743073e-07,55.5,7.896470433999136e-06,6.503951142405161e-06,0.82277375,0.6344891776264042,0.5151272160722683,0.07160632103160515,0.32394307660418875,0.6760569233958112,restructured,False,0,67068.0,962842506605927.4,1342697350592359.8,0.07160632103160515,0.005531919488802828,0.2369,0.0,0.0,0.0,0.0,0.6677919284166278,0.48509582524046974,0.6031842549425194,0.8238824102949387,0.8144625,0.9142937499999999,1.0,1.0,10.0,1.1090240377289062,4047725.009204365,0.865979475587269,shape_change,1089.0,75799.5,371579.25,p75,4.0,3.0,True,,,,,,,Q4_underused_stable,-13
Flow IAT Max,0.016051981914453103,0.005209179993403123,0.013145056245026059,0.001576673225873353,11,21,0.010630580953928114,16.0,-2.1418517838700523e-05,-3.4470872113464186e-06,71,68,-1.2432802525023472e-05,69.5,5.724339677494518e-06,5.227766593602589e-06,0.8278762499999999,0.6376427842695829,0.5249887610129585,0.43801523420420957,0.2799799733624046,0.7200200266375953,shifted,True,1,61899.0,208560720116044.56,519326787002817.7,0.06965174815874081,0.00930316391260666,0.2445,0.0,0.0,0.0,0.0,0.6425623007494674,0.43572424500448204,0.6763974987560541,0.8381064297571431,0.841320625,0.922041875,1.0,1.0,10.0,1.598405282138082,2212764.9071933134,0.7594320483889611,shape_change,1085.0,43218.0,-1515505.25,p75,4.0,4.0,False,0.43801523420420957,0.19482,,,,,Q4_underused_stable,-10
Flow IAT Mean,0.002431533217038094,0.006279586413551561,0.043527516155169185,0.0025394954983345526,37,18,0.0043555598152948275,27.5,-9.179364788021912e-06,3.4470872112464987e-06,68,50,-2.8661387883877065e-06,59.0,1.2708255099073163e-05,9.185048324351734e-06,0.790415,0.5703276892502471,0.5122213027079019,0.07278335041675209,0.17084861266150564,0.8291513873384944,restructured,True,2,70588.0,16728943910993.436,6603075485641.539,0.07278335041675209,0.02009157800816075,0.2568,0.0,0.0,0.0,0.0,0.4633637718288921,0.36715743412825047,0.5961276433409328,0.7597129978040076,0.8034418749999999,0.8811393750000001,1.0,1.0,10.0,0.564841162786562,397303.86969749955,0.7111070064037269,shape_change,1147.6666666666667,11814.712121212124,-2146.638888888934,p50,3.0,4.0,True,,,,,,,Q4_underused_stable,19
Flow IAT Min,0.005804760014129188,0.016504164002117915,0.006077100811757392,0.002947657114150287,24,9,0.01115446200812355,16.5,2.153872663041382e-05,3.246922918904715e-05,21,22,2.7003977909730487e-05,21.5,1.2120518520533535e-05,6.885551311758868e-06,0.806610625,0.5994863132211719,0.5171466509537949,0.4998947406746754,0.09087824169049265,0.9091217583095074,shifted,True,2,12549.0,5863418687729.043,1974759657386.2998,0.1583571016855084,0.09741265209141137,0.3065,0.05954283559972271,0.03868026057639193,0.0804054106230535,0.041725150046661566,0.2170479045049564,0.4187013088090763,0.6837613808779486,0.8240194923473273,0.8471018750000001,0.9154068750000001,0.9535079304937167,1.0,4.148078485180654,1.0987063587321602,-4199.994299402953,0.7749733737448053,shape_change,1.0,34.0,438.0,p75,4.0,4.0,False,0.4998947406746754,0.11752000000000001,,,,,Q2_fragile_shortcut,15
Flow IAT Std,0.0003623424603241096,0.00030762166096530457,0.0014604601569249214,0.00036484930159304876,56,50,0.0003349820606447071,53.0,0.0,1.079643263518874e-05,41,41,5.39821631759437e-06,41.0,0.0,1.3046676448198254e-05,0.7073,0.39603695575046405,0.51536769875763,0.13810681903409516,0.13660659166969985,0.8633934083303001,restructured,True,1,64419.0,36699696894597.91,33645609193051.004,0.06975682198410993,0.007204891448121309,0.1226,0.29060860981527126,0.2346263738356921,0.3465908457948504,0.11196447195915829,0.34042080298225996,0.4012874374096894,0.498234161650047,0.8029060877206443,0.75875375,0.907876875,1.0,0.8,0.5865023818432448,0.8965624571714855,1030455.3086069176,0.5973752797508864,shape_change,-27.712812921102035,16933.23788222466,-369007.2997864429,p75,3.0,4.0,True,,,0.2346263738356921,0.3465908457948504,0.11196447195915829,0.13810681903409516,Q4_underused_stable,6
Flow Packets/s,0.006425036058897537,0.0028383830501235705,0.020718164876391124,0.002618397201664535,22,31,0.004631709554510554,26.5,-9.884207457711014e-06,-4.308859014183024e-06,69,69,-7.0965332359470185e-06,69.0,6.88452359094427e-06,5.1849737871419265e-06,0.8146725,0.6146547083749244,0.519061205552978,0.07280551562757814,0.1790464301802278,0.8209535698197722,restructured,True,2,69762.0,11419660544.687239,7436873289.615097,0.07280551562757814,0.018944543072651365,0.2616,0.0,0.0,0.0,0.0,0.4908806951196667,0.3647453076894375,0.6367693500346935,0.7595418070357806,0.829055625,0.88549875,1.0,1.0,10.0,0.03268978852206168,916.6780865208951,0.45302394348032793,shape_change,0.08327945817689208,-27.917483058139787,-14732.90511423693,p75,3.0,4.0,True,,,,,,,Q4_underused_stable,-9
Fwd Act Data Pkts,0.029313224530448465,0.0029357184057945303,0.025391997547118354,0.005123625394996803,7,30,0.016124471468121498,18.5,-3.0597882626715035e-06,4.998276456339804e-06,66,48,9.692440968341505e-07,57.0,7.80096002941208e-06,4.71697076295561e-06,0.6802650000000001,0.3352812165154733,0.5189920791407233,0.4555765641597707,0.15300857653608094,0.8469914234639191,shifted,False,0,106.0,126.75879923473384,593411.9517598768,0.1382990784953925,0.021938839438218727,0.1936,0.33511910890056684,0.2775419531800606,0.3926962646210731,0.11515431144101251,0.16366770194682412,0.3965279599060312,0.4121231961002949,0.44271185288594056,0.7107775000000001,0.73455125,0.5654197359160011,1.0,0.15126696295658376,1.0177340712243088,0.6719608286872255,0.8410672697860901,shape_change,0.0,0.0,3.0,p75,4.0,4.0,False,0.4555765641597707,0.29159999999999997,0.2775419531800606,0.3926962646210731,0.11515431144101251,0.2924675889379446,Q4_underused_stable,-23
Fwd Bulk Rate Avg,0.00047316267764394986,9.534023484033491e-05,0.0005574870550558946,0.0001609899878596904,52,57,0.0002842514562421424,54.5,0.0,1.551189245074802e-05,53,33,7.75594622537401e-06,43.0,0.0,0.0,0.5167075000000001,0.02501599061641219,0.50430725494098,0.4991309697945967,0.0003828786235795783,0.9996171213764204,weak,False,0,2162.0,17142616378001.055,16205651922903.504,0.4597901376506883,0.0005618842068286778,0.0344,0.9760333348223535,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.026502958047230143,0.008904401895712281,0.03256654255851875,0.007291115141159206,0.5242775,0.5062412500000001,0.034827564237304036,0.6,0.0,,,,identical,0.0,0.0,0.0,none,4.0,4.0,False,0.4991309697945967,0.30523999999999996,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.2606138356433596,Q3_noise,-5
Fwd Bytes/Bulk Avg,0.0005397359920691271,0.0005041324277575728,0.0025255355935375912,0.0005173935622427583,49,45,0.0005219342099133499,47.0,2.1538726630465632e-05,4.119269217505902e-05,20,18,3.1365709402762325e-05,19.0,0.0,9.2815663687135e-07,0.5187349999999998,0.026896169721670745,0.505433043190933,0.4743139010112813,0.00030784469167840096,0.9996921553083216,weak,False,0,653.0,7051096.883168818,2328969384.6911654,0.4606820575102875,0.0013403656130308583,0.0341,0.9760333348223535,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.026501864676025114,0.007281936767667678,0.03021530180895809,0.015067871441725129,0.521320625,0.5099756249999998,0.042792533213725746,0.6,0.0,,,,identical,0.0,0.0,0.0,none,3.0,3.0,False,0.4743139010112813,0.06749999999999995,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.29646785461156033,Q2_fragile_shortcut,4
Fwd Header Length,0.0015804865497755028,0.0037221344007794845,0.018655953711000647,0.04598049383677644,41,26,0.0026513104752774936,33.5,-1.8795804529088874e-07,3.48155808341429e-05,64,20,1.7313811394426005e-05,42.0,9.610707381347423e-06,1.059103171026698e-05,0.7799862500000001,0.5314918523348232,0.530395039880428,0.5000257479787837,0.5874366952247019,0.4125633047752981,shifted,True,1,770.0,463451.5500364912,219159.35569866898,0.06987763618818094,0.013059358462324422,0.1865,0.0023986642083851087,0.0010219242271281358,0.003775404189642081,0.0027534799625139454,0.7613350474008083,0.7715876173443034,0.5335760336670837,0.9616569813919633,0.773625625,0.981855625,0.9999649756305632,0.8,0.3850142039355751,0.5097047197699023,44.708849020303546,0.8925907584883663,shape_change,-8.0,68.0,-20.0,p50,4.0,4.0,False,0.5000257479787837,0.49177008926737237,,,,,Q4_underused_stable,15
Fwd IAT Max,0.00034962804351583324,0.00017544341278627747,0.003195762714869101,0.005896907874172375,58,53,0.00026253572815105534,55.5,0.0,3.0506721820022786e-05,60,23,1.5253360910011393e-05,41.5,0.0,2.046594637542681e-06,0.792274375,0.5767948883831777,0.5091608789733177,0.5000165793487632,0.11846977537325094,0.881530224626749,shifted,True,1,50506.0,208524193654730.3,211557146762583.97,0.07929383666918334,0.021523415611422125,0.1938,0.2821549916127371,0.2217866054591516,0.3425233777663226,0.12073677230717098,0.2945824542854503,0.40216168223805265,0.6174635441286981,0.8106483238614968,0.8188431250000001,0.9092656250000001,1.0,1.0,0.7608423322147378,1.0471532199905904,471939.25726103655,0.8336642819585972,shape_change,-1.0,77769.0,-2361131.5,p75,4.0,4.0,False,0.5000165793487632,0.30445999999999995,0.2217866054591516,0.3425233777663226,0.12073677230717098,0.15499300786503933,Q4_underused_stable,5
Fwd IAT Mean,0.0005843796892210596,0.00020476414753687353,0.010616135833313356,0.004385828620212523,48,52,0.00039457191837896654,50.0,2.294841196981423e-06,6.8941744225744134e-06,35,45,4.594507809777918e-06,40.0,6.88452359094427e-06,6.448909663513054e-06,0.7990768749999999,0.5833034160197927,0.5178191213356724,0.5000199521149242,0.0856198803287025,0.9143801196712975,shifted,True,2,54354.0,95330119770371.25,17742491919713.766,0.08783454357271789,0.0364725985779244,0.1915,0.2821549916127371,0.2217866054591516,0.3425233777663226,0.12073677230717098,0.2227662994118999,0.38434844298593573,0.6094675872529817,0.7280717333268921,0.8096518749999999,0.8675525000000001,1.0,1.0,0.9534161895254883,0.32555981500905073,620916.250454383,0.6407155518889005,shape_change,-1.0,37115.5,-201110.33035714284,p75,4.0,4.0,False,0.5000199521149242,0.26306,0.2217866054591516,0.3425233777663226,0.12073677230717098,0.17624327731638662,Q2_fragile_shortcut,-4
Fwd IAT Min,0.019577609009547657,0.0019284023817628176,0.0079237663982218,0.016372414603872655,9,32,0.010753005695655238,20.5,3.1590132391268176e-05,1.6890727335320636e-05,15,32,2.4240429863294406e-05,23.5,7.831992270912115e-06,5.329067505621e-06,0.7981456250000001,0.5811428350000737,0.5180830319566446,0.42752618629966693,-0.09261540452726211,1.092615404527262,flipped,True,2,13106.0,90389819767488.97,8461710331956.064,0.13159334956674784,0.0505680029245168,0.252,0.2940098499493205,0.24031362502142897,0.347706074877212,0.10739244985578303,0.12236512130141183,0.2936919772464024,0.49564144127505844,0.92268902505028,0.7564018750000001,0.9630056250000001,0.9703071237913677,1.0,1.234757042279881,0.015773452724653005,7543.652662382353,0.941906610234788,shape_change,-1.0,15.0,234.0,p75,4.0,4.0,False,0.42752618629966693,0.3464,0.24031362502142897,0.347706074877212,0.10739244985578303,0.26899339366696834,Q2_fragile_shortcut,-23
Fwd IAT Std,0.0004886989463540424,0.00014328984606024227,0.0009092901544108215,0.0023989134477962323,50,55,0.00031599439620714234,52.5,0.0,1.7235436056139974e-06,59,52,8.617718028069987e-07,55.5,0.0,2.43745874240074e-06,0.651348125,0.26630762771436034,0.5247982830816952,0.1353647000690737,0.06009841338058885,0.9399015866194111,restructured,False,0,50987.0,18114083971874.23,32397060386994.19,0.18374670763353818,0.013473550688139824,0.1508,0.48866919951878796,0.5563515495533248,0.4209868494842511,0.1353647000690737,0.1424503166035904,0.4218903461466515,0.3663492246323711,0.8131153378311342,0.6935718749999998,0.9089012500000001,1.0,1.0,0.514916811078044,1.4653867097902942,100073.99351934163,0.7985853111399741,shape_change,0.0,17536.15856345693,-223474.25375601574,p75,2.0,4.0,True,,,0.5563515495533248,0.4209868494842511,0.1353647000690737,0.06828300101500506,Q3_noise,-5
Fwd IAT Total,0.0004401456731401342,0.00016355023859829037,0.0263992372145439,0.011844504258150045,53,54,0.0003018479558692123,53.5,0.0,1.3271285763457226e-05,56,38,6.635642881728613e-06,47.0,0.0,2.889185559112179e-06,0.778018125,0.5383079709430632,0.5191992474866298,0.5000177575736052,0.11002951209842113,0.8899704879015788,shifted,True,1,53766.0,961524472749367.8,1068001900260714.0,0.07684981924909623,0.015381318084103368,0.1867,0.2821549916127371,0.2217866054591516,0.3425233777663226,0.12073677230717098,0.2819978783528194,0.3901785103530409,0.5775844220744693,0.7652563236265532,0.79682875,0.88943125,1.0,1.0,0.7019154815338503,1.0490074319349638,354965.44591774297,0.9878135359202036,identical,-1.0,109696.5,-686167.75,p75,4.0,4.0,False,0.5000177575736052,0.27192,0.2217866054591516,0.3425233777663226,0.12073677230717098,0.15251888009440048,Q3_noise,-1
Fwd PSH Flags,0.01068854438324493,0.0043712142930566545,0.06360774690384617,0.0402337671919538,17,23,0.007529879338150792,20.0,0.00035027312992846893,-5.515339538142427e-06,4,71,0.00017237889519516325,37.5,1.4044175479278148e-05,6.9285595457453874e-06,0.5938593749999999,0.16448791752363112,0.5139021523228694,0.33547334832854675,0.09908086577221312,0.9009191342277869,shifted,False,0,85.0,71.33130968255252,48.59929328532425,0.26424620933104664,0.041773179691349416,0.2022,0.543499205561077,0.623880454865807,0.463117956256347,0.16076249860946001,0.21344277620969346,0.4642034156961709,0.21187610491362696,0.4390012285890078,0.618595,0.7319425,0.5764400844931483,1.0,0.5811276175103208,0.9139997968099159,1.0234345897253552,0.7401703527364745,shape_change,0.0,1.0,4.0,p75,4.0,4.0,False,0.33547334832854675,0.49542,0.623880454865807,0.463117956256347,0.16076249860946001,0.21003464167320832,Q2_fragile_shortcut,-6
Fwd Packet Length Max,0.010813585595221144,0.011695974000295041,0.023632529467023048,0.007696103247847641,16,10,0.011254779797758092,13.0,5.6889667525428234e-05,0.0001294381247844978,10,9,9.316389615496301e-05,9.5,1.8884227876791842e-05,9.944413468974245e-06,0.7242625,0.41666196391211197,0.5273109536123987,0.08715829859149296,-0.6530790569653292,1.6530790569653293,flipped,True,2,2271.0,241851.25710911976,855868.5094250533,0.11404299611498059,0.026459734588889505,0.1822,0.10566682855300674,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.7857641263912039,0.8311388049295909,0.4254848441766046,0.658959141054763,0.7221075,0.8368312499999998,0.9994746159077675,1.0,7.8007614759392965,0.8658706511444212,95.36943088682767,0.8393264895960743,shape_change,7.0,29.0,207.0,p75,4.0,2.0,True,,,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.08715829859149296,Q2_fragile_shortcut,6
Fwd Packet Length Mean,0.0024319942488471064,0.03456476252063399,0.010881096238248776,0.003480126248992097,36,5,0.01849837838474055,20.5,2.2273621498103414e-05,6.221992416403089e-05,19,15,4.224677283106715e-05,17.0,1.280312540429873e-05,1.0296640490363618e-05,0.694041875,0.3575382784394442,0.5237722112738173,0.4987413607210595,0.4674062410147833,0.5325937589852168,shifted,True,2,12057.0,8410.429869225361,30697.91979582356,0.11127622368111839,0.028663993383792885,0.1863,0.10566682855300674,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.6309978393039368,0.7407414287351382,0.34376551623076523,0.9049559599712158,0.677781875,0.9545412500000001,0.9994820457804388,1.0,8.373804927592895,0.9795057271395421,18.161340456396477,0.8338192607340205,shape_change,6.0,4.333333333333343,33.94545454545455,p75,4.0,4.0,False,0.4987413607210595,0.50632,0.14590325530010095,0.06543040180591252,0.08047285349418844,0.08323894329471647,Q1_good,31
Fwd Packet Length Min,0.01235402952470893,0.00030116368641342406,0.009358647193123803,0.001534176359476967,15,51,0.006327596605561177,33.0,3.159013239124597e-05,0.00010875560151668203,16,10,7.0172866953964e-05,13.0,2.6863511865918507e-06,2.1038530878709155e-06,0.5688875,0.09628641689491094,0.5229544979076985,0.08268807721798355,0.2594644181217405,0.7405355818782595,restructured,False,0,132.0,1226.6129535872371,564.6713906931673,0.16349359346796732,0.0064482674193888645,0.0922,0.5631573112427561,0.5218132726337644,0.604501349851748,0.08268807721798355,0.487865602868228,0.3042264613803937,0.26323110757619494,-0.0028730082570630764,0.642880625,0.50025,0.002037162530837739,0.8,0.0018679154080399607,0.8436900745150405,-1.215961101313954,0.869854601538249,shape_change,0.0,0.0,-4.0,p75,2.0,3.0,True,,,0.5218132726337644,0.604501349851748,0.08268807721798355,0.05687811729058647,Q1_good,-36
Fwd Packet Length Std,0.00788643627893873,0.010598674638538554,0.01957328535814041,0.09411124200546021,19,12,0.009242555458738642,15.5,5.354629459615919e-06,1.3836919044962758e-05,33,37,9.595774252289339e-06,35.0,1.1371755666186597e-05,1.0114882555433464e-05,0.6926737499999999,0.3715169591705515,0.5110031137922156,0.45026815278379856,0.17771420217723038,0.8222857978227696,shifted,False,0,15039.0,24058.086029966897,70031.46194357984,0.2314756961784809,0.03094726747006904,0.2021,0.5310497929155493,0.6034438751214309,0.4586557107096678,0.14478816441176312,0.3019054785727637,0.5886418590923272,0.31034577420288867,0.8156872827692471,0.66799,0.9120775,1.0,1.0,0.6064973588886682,0.8788011944203206,33.42469666886966,0.827125053763909,shape_change,0.0,23.11493023999856,73.05663054855036,p75,3.0,3.0,False,0.45026815278379856,0.43344000000000005,0.6034438751214309,0.4586557107096678,0.14478816441176312,0.09714464562322812,Q1_good,7
Fwd Packet/Bulk Avg,0.00034983128283305265,0.0005928703271916519,0.0013824184674331417,0.0002948095056163991,57,43,0.0004713508050123523,50.0,0.0,5.170630816841992e-06,48,47,2.585315408420996e-06,47.5,0.0,0.0,0.5212393750000001,0.028789905306665486,0.5070473138449292,0.3014305378263825,0.0002129632226983552,0.9997870367773016,weak,False,0,32.0,23.756283861096282,585839.7892877492,0.4606732195660978,0.0009391567705316906,0.0345,0.9760333348223535,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.016387567297241806,0.005018198328167362,0.03349390511110982,0.004987887498269561,0.5222200000000001,0.50425125,0.038585321708306974,0.6,0.0,,,,identical,0.0,0.0,0.0,none,2.0,3.0,True,,,0.9585811158307778,0.9934855538139293,0.03490443798315157,0.3014305378263825,Q3_noise,14
Fwd RST Flags,0.0004025800076925227,7.70083208235266e-05,0.010724366628122593,0.00201203423093531,54,59,0.00023979416425802465,56.5,0.0,5.860048259139402e-06,58,46,2.930024129569701e-06,52.0,0.0,2.9045673123807232e-06,0.56964125,0.11634780053412658,0.5129772208340206,0.1617640689986424,-0.068890189854455,1.068890189854455,flipped,True,1,21.0,0.7543616178829536,0.16805645839870356,,,,0.8075878255905875,0.8237152136231166,0.7914604375580583,0.03225477606505833,0.1337713364800692,0.05341033056385417,0.16463763379936383,0.44182057085782633,0.5958406250000001,0.7312675000000001,0.9293311814097402,1.0,,0.5156657963446476,0.0718015665796345,0.6445822454308094,shape_change,0.0,0.0,0.0,none,2.0,1.0,True,,,,,,,Q3_noise,-5
Fwd Seg Size Min,0.010461873475138323,0.010872197950595137,0.009735299279471407,0.05077390841967171,18,11,0.01066703571286673,14.5,5.115859474269513e-06,0.0003740023014864165,34,4,0.00018955908048034302,19.0,1.0921177653544732e-05,3.5348521030925545e-05,0.700080625,0.370453498573467,0.5235945647852988,0.18971370106850532,0.4967123534433096,0.5032876465566904,restructured,False,0,9.0,99.99096405107825,51.40295930749872,0.18971370106850532,0.022371155477766136,0.2065,0.00555878419994761,0.0044562753576258595,0.006661293042269361,0.0022050176846435017,0.577765054504003,0.4549524720767749,0.3679164594958015,0.5703522974377999,0.69415625,0.790945625,1.0,0.8,0.0391465405308269,0.5684105630293972,6.071416708188002,0.6858441372556088,shape_change,0.0,0.0,-4.0,p75,1.0,3.0,True,,,,,,,Q1_good,7
Fwd URG Flags,3.702015651301489e-05,9.788995556300261e-05,9.597671033133251e-06,4.093859651316857e-05,67,56,6.745505603800874e-05,61.5,0.0,-1.7235436056880122e-07,61,66,-8.617718028440061e-08,63.5,0.0,9.281566368912791e-07,0.5,0.0,0.5,0.003385967136072697,1.488212578221045e-06,0.9999985117874218,weak,False,0,2.0,0.0026856760102659063,0.0005588040840572558,,,,0.999971368875063,0.9999557134421608,0.9999870243079652,3.131086580432374e-05,0.0,0.004609236189294131,0.0,0.0,0.5,0.5,0.0,0.0,,,,,identical,0.0,0.0,0.0,none,1.0,1.0,False,,,,,,,Q3_noise,11
