feature,pooled_c2st,pooled_c2st_calibrated,benign_c2st,attack_c2st,benign_c2st_calibrated,attack_c2st_calibrated,dominant_slice,dominant_c2st,c2st_Botnet,c2st_BruteForce,c2st_DDoS,c2st_DoS,c2st_Infiltration,c2st_WebAttack,c2st_calibrated_Botnet,c2st_calibrated_BruteForce,c2st_calibrated_DDoS,c2st_calibrated_DoS,c2st_calibrated_Infiltration,c2st_calibrated_WebAttack
Fwd Packet Length Std,0.6926737499999999,0.3715169591705515,0.66799,0.9120775,0.31034577420288867,0.8156872827692471,Botnet,1.0,1.0,0.9962443750000002,0.99975,0.8463993750000001,0.529549375,0.9487611886860007,1.0,0.9921298828952341,0.9994579131211618,0.6791621607077994,0.04689207998954084,0.8832127033082934
Bwd Packet Length Max,0.783151875,0.5435004805561594,0.7487181250000001,0.9915218750000001,0.47005216730760474,0.9823038127414979,Botnet,1.0,1.0,0.7887500000000001,1.0,0.9994375,0.5244181250000001,0.8111570593149541,1.0,0.5519347516497154,1.0,0.9988159682098422,0.03657190770596856,0.5701500006290185
Bwd Packet Length Std,0.730833125,0.43680136187124863,0.66057375,0.99013375,0.2992954576318321,0.9791931704730548,DDoS,1.0,0.9953486394557822,0.9995,1.0,0.9994149999999999,0.5246999999999999,0.9505564506504356,0.9902809769071929,0.9989712668036272,1.0,0.9987989401049618,0.03470537110052603,0.8878049995322618
Bwd Packet Length Min,0.587334375,0.12980517406408096,0.630733125,0.5,0.24095474506880765,-0.0016830857716930497,benign,0.630733125,0.5,0.5,0.5,0.5,0.502498125,0.5,0.0,0.0,0.0,0.0,0.0015807652494479625,0.0
Bwd Packet Length Mean,0.6968587500000001,0.3680992314048145,0.6666568749999999,0.99219875,0.3054118180271964,0.9834274891893341,DDoS,1.0,0.9960986394557823,0.9995,1.0,0.999171875,0.524440625,0.9269089390142021,0.991847769528883,0.9989539859554439,1.0,0.9982652700467582,0.04087068065230184,0.8370870462450426
Flow Bytes/s,0.7318568750000001,0.4307729913654047,0.7954293750000001,0.9029393749999999,0.574916720813323,0.7966760793032526,BruteForce,1.0,0.9918373781945211,1.0,0.9695325,0.9601256250000001,0.5304599999999999,0.9582662012173291,0.9825684513689447,1.0,0.937617337842806,0.9158931535212628,0.046755257342709675,0.8969853641020937
Flow Packets/s,0.8146725,0.6146547083749244,0.829055625,0.88549875,0.6367693500346935,0.7595418070357806,BruteForce,1.0,0.9734329840044126,1.0,0.95912375,0.8013450000000001,0.9831731250000001,0.8877461510920156,0.9439289065447264,1.0,0.9141573706364174,0.5921792077509329,0.9654831893687771,0.7011556664090965
Flow IAT Mean,0.790415,0.5703276892502471,0.8034418749999999,0.8811393750000001,0.5961276433409328,0.7597129978040076,BruteForce,1.0,0.974177629159772,1.0,0.9661956250000001,0.79861125,0.9814687500000001,0.8926608187134502,0.9455426082261082,1.0,0.9295523249733944,0.5820183044635631,0.9617776063920455,0.7562414349335698
Flow IAT Max,0.8278762499999999,0.6376427842695829,0.841320625,0.922041875,0.6763974987560541,0.8381064297571431,BruteForce,1.0,0.9933462033462034,1.0,0.9494943749999999,0.911113125,0.9797081249999998,0.9221195846759758,0.9859195630915796,1.0,0.8933270192353007,0.8159724706403342,0.9571004563535399,0.8114220351199916
Flow IAT Std,0.7073,0.39603695575046405,0.75875375,0.907876875,0.498234161650047,0.8029060877206443,BruteForce,1.0,0.9918440085493657,1.0,0.95903125,0.8905412500000001,0.70615125,0.9092418546365915,0.9828154450563021,1.0,0.9153905347322431,0.7739240096104557,0.3903352546871226,0.7724624833564346
