direction,framing,strategy,attack_f1,macro_f1,recall,precision,p_src_train_attack,p_tgt_true_attack,p_tgt_estimated,threshold
cicids2017->cicids2018,concept,baseline_0.5,0.5561134599479546,0.7564084385962317,0.8833778094555246,0.40578323365040886,0.240685,0.055947,,0.5
cicids2017->cicids2018,concept,prior_ratio_known,0.0,0.48561068057485723,0.0,0.0,0.240685,0.055947,,
cicids2017->cicids2018,concept,sld_em,0.10596589291333865,0.05298294645666932,1.0,0.05594719362067442,0.240685,0.055947,0.999999,
cicids2017->cicids2018,concept,oracle_best_f1,0.6885045973388876,0.8326576473136018,0.8526687794592439,0.5773478996521204,0.240685,0.055947,,0.652305
cicids2017->cicids2018,covariate,baseline_0.5,0.043729642302640925,0.5061874348721651,0.024814706393955208,0.18392888963428056,0.240685,0.055947,,0.5
cicids2017->cicids2018,covariate,prior_ratio_known,0.025219597289189176,0.4971464832445342,0.013861842598367181,0.13960775377077667,0.240685,0.055947,,
cicids2017->cicids2018,covariate,sld_em,0.0,0.48561068057485723,0.0,0.0,0.240685,0.055947,1e-06,
cicids2017->cicids2018,covariate,oracle_best_f1,0.2598886152366188,0.5511675277710194,0.8153102510037179,0.15458154447748965,0.240685,0.055947,,0.123303
cicids2018->cicids2017,concept,baseline_0.5,9.891588193400332e-05,0.4316556825688425,4.946087644673064e-05,0.8333333333333334,0.055944,0.240663,,0.5
cicids2018->cicids2017,concept,prior_ratio_known,0.6364078939960457,0.7161989111805387,0.9504599861509546,0.47835070023548626,0.055944,0.240663,,
cicids2018->cicids2017,concept,sld_em,0.38795865970242044,0.19397932985121022,1.0,0.2406629718508361,0.055944,0.240663,0.999999,
cicids2018->cicids2017,concept,oracle_best_f1,0.7320270909610131,0.8140951469893947,0.84947076862202,0.6431133778187184,0.055944,0.240663,,0.181508
cicids2018->cicids2017,covariate,baseline_0.5,0.3929634002361275,0.6424010377204064,0.24693837174794736,0.9615947611710324,0.055944,0.240663,,0.5
cicids2018->cicids2017,covariate,prior_ratio_known,0.6384560997322061,0.7322181314177891,0.8620041547136216,0.5069786654720417,0.055944,0.240663,,
cicids2018->cicids2017,covariate,sld_em,0.38795865970242044,0.19397932985121022,1.0,0.2406629718508361,0.055944,0.240663,0.999999,
cicids2018->cicids2017,covariate,oracle_best_f1,0.747750333283958,0.830214580548245,0.7989811059451973,0.702693532390249,0.055944,0.240663,,0.201434
