feature,benign_shift,attack_shift,max_attack_shift,mean_attack_shift,shift_by_family,dominant_driver,benign_c2st,attack_c2st,pooled_c2st,benign_c2st_calibrated,attack_c2st_calibrated,pooled_c2st_calibrated,benign_c2st_null,attack_c2st_null,pooled_c2st_null
Bwd Packet Length Mean,0.3054118180271964,0.9834274891893341,1.0,0.811170792071405,"{'Botnet': 0.991847769528883, 'BruteForce': 0.9989539859554439, 'DDoS': 1.0, 'DoS': 0.9982652700467582, 'Infiltration': 0.04087068065230184, 'WebAttack': 0.8370870462450426}",attack,0.6666568749999999,0.99219875,0.6968587500000001,0.3054118180271964,0.9834274891893341,0.3680992314048145,0.5200852337377487,0.5292656562951732,0.5202708003126338
Flow Bytes/s,0.574916720813323,0.7966760793032526,1.0,0.7966365940296362,"{'Botnet': 0.9825684513689447, 'BruteForce': 1.0, 'DDoS': 0.937617337842806, 'DoS': 0.9158931535212628, 'Infiltration': 0.046755257342709675, 'WebAttack': 0.8969853641020937}",attack,0.7954293750000001,0.9029393749999999,0.7318568750000001,0.574916720813323,0.7966760793032526,0.4307729913654047,0.5187516540490366,0.5226305657131034,0.5289346413073498
Flow Packets/s,0.6367693500346935,0.7595418070357806,1.0,0.8528173901183251,"{'Botnet': 0.9439289065447264, 'BruteForce': 1.0, 'DDoS': 0.9141573706364174, 'DoS': 0.5921792077509329, 'Infiltration': 0.9654831893687771, 'WebAttack': 0.7011556664090965}",attack,0.829055625,0.88549875,0.8146725,0.6367693500346935,0.7595418070357806,0.6146547083749244,0.529377889733899,0.523820550306481,0.519061205552978
Flow IAT Mean,0.5961276433409328,0.7597129978040076,1.0,0.8625220464981135,"{'Botnet': 0.9455426082261082, 'BruteForce': 1.0, 'DDoS': 0.9295523249733944, 'DoS': 0.5820183044635631, 'Infiltration': 0.9617776063920455, 'WebAttack': 0.7562414349335698}",attack,0.8034418749999999,0.8811393750000001,0.790415,0.5961276433409328,0.7597129978040076,0.5703276892502471,0.5133162204366302,0.5053389325526226,0.5122213027079019
Flow IAT Max,0.6763974987560541,0.8381064297571431,1.0,0.9106235907401244,"{'Botnet': 0.9859195630915796, 'BruteForce': 1.0, 'DDoS': 0.8933270192353007, 'DoS': 0.8159724706403342, 'Infiltration': 0.9571004563535399, 'WebAttack': 0.8114220351199916}",attack,0.841320625,0.922041875,0.8278762499999999,0.6763974987560541,0.8381064297571431,0.6376427842695829,0.5096472543011019,0.5184606474299452,0.5249887610129585
Flow IAT Std,0.498234161650047,0.8029060877206443,1.0,0.8058212879070931,"{'Botnet': 0.9828154450563021, 'BruteForce': 1.0, 'DDoS': 0.9153905347322431, 'DoS': 0.7739240096104557, 'Infiltration': 0.3903352546871226, 'WebAttack': 0.7724624833564346}",attack,0.75875375,0.907876875,0.7073,0.498234161650047,0.8029060877206443,0.39603695575046405,0.5192055106953205,0.5325927425428184,0.51536769875763
Flow IAT Min,0.6837613808779486,0.8240194923473273,0.9535079304937167,0.7108058905339791,"{'Botnet': 0.8643362138720222, 'BruteForce': 0.6626959719375949, 'DDoS': 0.5679814186600304, 'DoS': 0.9535079304937167, 'Infiltration': 0.8507661772315065, 'WebAttack': 0.36554763100900434}",attack,0.8471018750000001,0.9154068750000001,0.806610625,0.6837613808779486,0.8240194923473273,0.5994863132211719,0.5165102686557417,0.5193040062882487,0.5171466509537949
Fwd IAT Total,0.5775844220744693,0.7652563236265532,1.0,0.8725018793407305,"{'Botnet': 0.9930154512783239, 'BruteForce': 1.0, 'DDoS': 0.9165286550499243, 'DoS': 0.6904846515633958, 'Infiltration': 0.7704527020909214, 'WebAttack': 0.8645298160618179}",attack,0.79682875,0.88943125,0.778018125,0.5775844220744693,0.7652563236265532,0.5383079709430632,0.5190251955248254,0.5289809220500603,0.5191992474866298
Fwd IAT Mean,0.6094675872529817,0.7280717333268921,1.0,0.8515297912728786,"{'Botnet': 0.9265528260785769, 'BruteForce': 1.0, 'DDoS': 0.9309358818966281, 'DoS': 0.575617260064749, 'Infiltration': 0.7735968960992741, 'WebAttack': 0.9024758834980432}",attack,0.8096518749999999,0.8675525000000001,0.7990768749999999,0.6094675872529817,0.7280717333268921,0.5833034160197927,0.5125932732162105,0.5129322095844543,0.5178191213356724
Fwd IAT Std,0.3663492246323711,0.8131153378311342,1.0,0.7471661308077073,"{'Botnet': 0.9833651128625869, 'BruteForce': 1.0, 'DDoS': 0.921734109919898, 'DoS': 0.7250541459438025, 'Infiltration': 0.07188465309285616, 'WebAttack': 0.7809587630271004}",attack,0.6935718749999998,0.9089012500000001,0.651348125,0.3663492246323711,0.8131153378311342,0.26630762771436034,0.5164085062119305,0.5125402537438593,0.5247982830816952
