feature,benign_shift,attack_shift,max_attack_shift,mean_attack_shift,shift_by_family,dominant_driver,benign_c2st,attack_c2st,pooled_c2st,benign_c2st_calibrated,attack_c2st_calibrated,pooled_c2st_calibrated,benign_c2st_null,attack_c2st_null,pooled_c2st_null
Fwd Bulk Rate Avg,0.03256654255851875,0.007291115141159206,0.034827564237304036,0.007404242876490595,"{'Botnet': 0.034827564237304036, 'BruteForce': -0.002354415459441338, 'DDoS': 0.00030428813073178233, 'DoS': 0.013471299482656659, 'Infiltration': -0.0018232791323075633, 'WebAttack': 0.0}",benign,0.5242775,0.5062412500000001,0.5167075000000001,0.03256654255851875,0.007291115141159206,0.02501599061641219,0.5082633370380661,0.5026147569232138,0.50430725494098
Bwd Packet/Bulk Avg,0.0037225311819954377,0.23626831682940358,0.6626549783983277,0.14031720893809227,"{'Botnet': 0.0, 'BruteForce': 0.000689984080933076, 'DDoS': 0.18850071268850288, 'DoS': 0.6626549783983277, 'Infiltration': 0.0, 'WebAttack': -0.009942421539210055}",attack,0.513469375,0.6265000000000001,,0.0037225311819954377,0.23626831682940358,,0.5116514824156109,0.5109539014416266,
Bwd Bulk Rate Avg,0.07397561544547768,0.23473454764605825,0.6465737907325646,0.13328887666010436,"{'Botnet': 0.0, 'BruteForce': -4.753595751923929e-05, 'DDoS': 0.17137386839897106, 'DoS': 0.6465737907325646, 'Infiltration': 0.0, 'WebAttack': -0.018166863213390283}",attack,0.5401337500000001,0.6295000000000001,0.55796625,0.07397561544547768,0.23473454764605825,0.09443287633285562,0.5033972564110983,0.5158542714030157,0.5118708062082027
Subflow Bwd Packets,0.0024999999999999467,0.0,0.0,0.0,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': 0.0, 'WebAttack': 0.0}",benign,0.50125,0.5,0.501,0.0024999999999999467,0.0,0.00032717295763893205,0.5,0.5,0.5008366872626269
Subflow Fwd Bytes,0.34892292373734546,0.889258363085155,0.9994672303827538,0.8000345470826046,"{'Botnet': 0.9994672303827538, 'BruteForce': 0.9945970786579454, 'DDoS': 0.9986915080391499, 'DoS': 0.8614155476181905, 'Infiltration': 0.045645532167685694, 'WebAttack': 0.900390385629902}",attack,0.6874631250000001,0.9472675,,0.34892292373734546,0.889258363085155,,0.5199694684475149,0.5238240875873204,
Fwd Seg Size Min,0.3679164594958015,0.5703522974377999,1.0,0.25898229577186815,"{'Botnet': 0.0, 'BruteForce': -0.0016631070291303056, 'DDoS': 0.002882666426741919, 'DoS': 0.4643448481871912, 'Infiltration': 0.08832936704640615, 'WebAttack': 1.0}",attack,0.69415625,0.790945625,0.700080625,0.3679164594958015,0.5703522974377999,0.370453498573467,0.5161339753349131,0.5134283885301697,0.5235945647852988
FWD Init Win Bytes,0.43752212311053124,0.9546858411071724,1.0,0.6434369641705989,"{'Botnet': 0.0, 'BruteForce': 1.0, 'DDoS': 0.7870218851478701, 'DoS': 1.0, 'Infiltration': 0.07359989987572339, 'WebAttack': 1.0}",attack,0.733715625,0.9786699999999999,0.7557843750000001,0.43752212311053124,0.9546858411071724,0.486319624644364,0.5265869362319348,0.5292861983723982,0.5245766887027321
Fwd Act Data Pkts,0.4121231961002949,0.44271185288594056,0.5654197359160011,0.08129718793556788,"{'Botnet': 0.038365958330000775, 'BruteForce': 0.5654197359160011, 'DDoS': 0.0017722087920980234, 'DoS': 0.0023120784623097365, 'Infiltration': 0.031212948679517145, 'WebAttack': -0.1512998025665196}",attack,0.7107775000000001,0.73455125,0.6802650000000001,0.4121231961002949,0.44271185288594056,0.3352812165154733,0.5080219221417982,0.5236777394698995,0.5189920791407233
Subflow Bwd Bytes,0.2670669756084844,0.983762728181797,0.9999986837518295,0.8068091412332282,"{'Botnet': 0.9213424532713921, 'BruteForce': 0.9989315516216305, 'DDoS': 0.9999986837518295, 'DoS': 0.9993547211771836, 'Infiltration': 0.04104934493513027, 'WebAttack': 0.8801780926422035}",attack,0.648976875,0.9921737500000001,,0.2670669756084844,0.983762728181797,,0.5210706663253153,0.5180070834789975,
Bwd Init Win Bytes,0.35248413955009117,0.9832609369784083,1.0,0.826850086579365,"{'Botnet': 0.9928925819635317, 'BruteForce': 0.999475788615124, 'DDoS': 1.0, 'DoS': 0.9992531376701971, 'Infiltration': 0.03000713072582698, 'WebAttack': 0.9394718805015098}",attack,0.691171875,0.992291875,0.7364531249999999,0.35248413955009117,0.9832609369784083,0.4602207569183325,0.523057049466836,0.5395127558778382,0.5117506306923219
Active Mean,0.09571382552351596,0.0792511561195321,0.4461015539714239,0.07893513273913147,"{'Botnet': -0.0016839289647298335, 'BruteForce': 0.0, 'DDoS': 0.4461015539714239, 'DoS': 0.0450314709651024, 'Infiltration': 0.048401777723449314, 'WebAttack': -0.06424007726045695}",benign,0.559435,0.5506387499999998,0.53498125,0.09571382552351596,0.0792511561195321,0.03131843052965931,0.5128035654696865,0.5119611031970663,0.5199467351750434
Active Std,-0.022011453321055204,0.005322625725480695,0.02332654027993123,0.0042328613905980835,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.02332654027993123, 'Infiltration': 0.002070628063657272, 'WebAttack': 0.0}",attack,0.5093125000000001,0.505995,0.504680625,-0.022011453321055204,0.005322625725480695,-0.006089658132673772,0.5198806252067949,0.5033515260560653,0.5076786934483309
Active Max,0.048061350719547674,0.09464572047256418,0.4529925021358259,0.08522749614649594,"{'Botnet': 0.0, 'BruteForce': 0.0009999999999998899, 'DDoS': 0.4529925021358259, 'DoS': 0.05260409382394711, 'Infiltration': 0.0451201305419754, 'WebAttack': -0.04035174962277262}",attack,0.5471743750000001,0.557119375,0.5384881250000001,0.048061350719547674,0.09464572047256418,0.052257417133640904,0.5243121756404365,0.5108206422449688,0.5130409001944386
Active Min,0.17522480156680184,0.09626466850568088,0.4430283043875049,0.08295292424627407,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.4430283043875049, 'DoS': 0.0708750707836935, 'Infiltration': 0.060456524845478046, 'WebAttack': -0.07664235453903205}",benign,0.602045,0.5571325,0.5931206249999998,0.17522480156680184,0.09626466850568088,0.15470372455807518,0.5174988278551735,0.5099588512626566,0.5186547169070611
Idle Min,0.09679921896344962,0.15132710418895245,0.5596957283077814,0.10572174061431121,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.5596957283077814, 'DoS': 0.04138189551811034, 'Infiltration': 0.03824681331564345, 'WebAttack': -0.004993993455667994}",attack,0.5578718750000001,0.58382,,0.09679921896344962,0.15132710418895245,,0.5104874416820195,0.5096108264394716,
Idle Mean,0.15008343882618583,0.12224920581677046,0.5562615335488861,0.102664312302788,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.5562615335488861, 'DoS': 0.061557446216273196, 'Infiltration': 0.03752813257720659, 'WebAttack': -0.03936123852563786}",benign,0.5886168749999999,0.569831875,0.570485,0.15008343882618583,0.12224920581677046,0.11069070030683573,0.5159723391766345,0.5099199820146185,0.5170240543439788
ICMP Code,-0.0022459783099045613,0.0,0.0,-0.000631696791002705,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': -0.00379018074601623, 'WebAttack': 0.0}",attack,0.5005,0.5,0.5,-0.0022459783099045613,0.0,0.0,0.5016193521252029,0.5,0.5
Idle Max,0.1691380608179291,0.13926329660279213,0.5470705227334566,0.10019802688037001,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.5470705227334566, 'DoS': 0.07350441685126073, 'Infiltration': 0.05198308168753484, 'WebAttack': -0.07136985999003205}",benign,0.59548875,0.5750556249999998,,0.1691380608179291,0.13926329660279213,,0.513142640282434,0.5063015515397404,
ICMP Type,-0.002338514746855208,0.0,0.0,-4.614538860238127e-05,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.0, 'Infiltration': -0.0002768723316142876, 'WebAttack': 0.0}",attack,0.5005,0.5,0.50175,-0.002338514746855208,0.0,0.0035000000000000586,0.5016653628977323,0.5,0.5
Idle Std,-0.022440448858093397,0.0011720204987406085,0.024628332713268173,0.007718736647453858,"{'Botnet': 0.0, 'BruteForce': 0.0, 'DDoS': 0.0, 'DoS': 0.024628332713268173, 'Infiltration': 0.021684087171454976, 'WebAttack': 0.0}",attack,0.49799437500000004,0.5039981250000001,0.5045599999999999,-0.022440448858093397,0.0011720204987406085,-0.020328072009776037,0.5090123580687149,0.5034161185115514,0.5144306879412672
Total TCP Flow Time,0.27339329595289147,0.7971770848041935,1.0,0.8939840648880031,"{'Botnet': 0.9826760400364939, 'BruteForce': 1.0, 'DDoS': 0.9016208377331004, 'DoS': 0.651797203553245, 'Infiltration': 0.9524531845870065, 'WebAttack': 0.8753571234181726}",attack,0.6512287500000001,0.902435,0.6777412500000001,0.27339329595289147,0.7971770848041935,0.3179040995889008,0.5199999558806881,0.5189646105529538,0.5275462734700874
