feature,verdict,detected_type,route,c2st_auc,c2st_auc_ci_low,c2st_auc_ci_high,c2st_auc_ci_width,c2st_null_pooled,c2st_calibrated_pooled,c2st_null_benign,c2st_calibrated_benign,c2st_null_attack,c2st_calibrated_attack,c2st_shifted,e1_agreement_rate,wasserstein_qn_null,wasserstein_qn_calibrated,jensen_shannon_null,jensen_shannon_calibrated,mmd_null,mmd_calibrated,energy_distance_null,energy_distance_calibrated,ks_statistic_null,ks_statistic_calibrated,anderson_darling_null,anderson_darling_calibrated,marginal_shift_magnitude,separation_stability,sep_2017,sep_2018,dir_2017,dir_2018,wasserstein_qn,mmd,energy_distance,anderson_darling,ks_statistic,n_modes_2017,n_modes_2018,modality_mismatch,recommended_scale,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,cardinality,variance_2017,variance_2018,flip_detected,collapse_detected
Fwd Packet Length Std,shifted,continuous,continuous_multimodal,0.6926737499999999,0.6670151228886765,0.7183323771113233,0.05131725422264677,0.5110031137922156,0.3715169591705515,0.518584839212348,0.31034577420288867,0.5229710607004714,0.8156872827692471,True,1.0,0.1440871937309686,0.6064973588886682,,,0.0005794073075130465,10.0,0.09899304406101528,0.5176431769588776,0.01592499999999999,10.0,2.128234956330507,10.0,0.45026815278379856,0.17771420217723038,0.5441151016589109,0.6231826272771575,0.0,1.0,0.2314756961784809,0.03094726747006904,0.15023611788558938,646.8465229110119,0.2021,3,3,False,symlog,0.8788011944203206,33.42469666886966,0.827125053763909,shape_change,0.0,23.11493023999856,73.05663054855036,p75,15039,24058.086029966897,70031.46194357984,False,False
Bwd Packet Length Max,restructured,continuous,structural_change,0.783151875,0.7586368726783088,0.8076668773216913,0.049030004643382474,0.524976225026066,0.5435004805561594,0.5258365833418649,0.47005216730760474,0.5209066859344755,0.9823038127414979,True,1.0,0.015057665393326966,4.642906501471671,,,0.0005977649541563542,10.0,0.0033874536634158764,4.478150370827523,0.02063499999999999,8.435425248364435,1.9015528109044397,10.0,0.06664964244821225,0.7165299477547088,0.504281153111921,0.5050823032772418,0.0,0.0,0.08496899794498973,0.025697445849089284,0.018556980542402735,474.3227192224267,0.1947,4,3,True,symlog,0.2126251493795042,285.7558060545379,0.6491493373561242,shape_change,11.0,27.0,-275.0,p75,2120,5062597.737624752,330912.3266045104,False,False
Bwd Packet Length Std,shifted,continuous,continuous_multimodal,0.730833125,0.7095538068876983,0.7521124431123016,0.04255863622460332,0.5220747054816803,0.43680136187124863,0.5155929076000525,0.2992954576318321,0.5258167522724686,0.9791931704730548,True,1.0,0.15433424271121354,0.4907175711765815,,,0.00022831964220479942,10.0,0.11732342315578888,0.3712628751476617,0.018609999999999998,9.569586243954866,1.4971161247540266,10.0,0.5000225968274055,0.25569819585255565,0.660580746758794,0.6027102372595186,1.0,1.0,0.23006876744383728,0.006796762144755775,0.1608812545587728,557.3868796360434,0.1967,4,4,False,symlog,0.20274069311375353,96.5959195918349,0.6519647419227292,shape_change,0.0,21.74396467988301,-148.62903703722964,p75,14389,931193.5049979236,51829.097043567424,False,False
Bwd Packet Length Min,shifted,continuous,continuous_multimodal,0.587334375,0.5754127956588404,0.5992559543411595,0.02384315868231912,0.5257778916851562,0.12980517406408096,0.5135113847283399,0.24095474506880765,0.5008401288768874,-0.0016830857716930497,True,0.8,0.16142641563207813,0.027407997040321,,,0.00035717772749395123,8.530041181084131,0.1215970055513878,0.0,0.017559999999999996,4.273348519362188,1.6205078473044958,10.0,0.2977769514898004,0.2623316257253617,0.8101078702414442,0.7114841728469478,-1.0,-1.0,0.16585079035395175,0.003403918451983401,0.09487329855399274,149.6931211532544,0.0926,3,3,False,symlog,0.836023456909625,-3.5783836575023242,0.9608721296646464,shape_change,0.0,0.0,-26.0,p75,344,5498.311121232858,3358.1643466960586,False,False
Bwd Packet Length Mean,shifted,continuous,continuous_multimodal,0.6968587500000001,0.6706152433899187,0.7231022566100814,0.05248701322016269,0.5202708003126338,0.3680992314048145,0.5200852337377487,0.3054118180271964,0.5292656562951732,0.9834274891893341,True,1.0,0.012583963209816047,3.7927803232776585,,,0.0009633682338017199,10.0,0.002284375793948539,4.933201496099729,0.019155,8.506656225528584,1.7557462010610765,10.0,0.49469045904066095,0.7574220042368248,0.5029968205440732,0.5656054270194005,0.0,-1.0,0.060312171260856313,0.0625604879793551,0.013553661878309475,383.4564789602544,0.1821,4,4,False,symlog,0.18845228152543383,72.75569976102388,0.7876817043167466,shape_change,3.0,3.0,-138.47493131868134,p75,12930,449960.3712410878,26573.051363271545,False,False
Flow Bytes/s,restructured,continuous,structural_change,0.7318568750000001,0.7149632485627052,0.7487505014372949,0.033787252874589724,0.5289346413073498,0.4307729913654047,0.5187516540490366,0.574916720813323,0.5226305657131034,0.7966760793032526,True,1.0,0.007367075175375877,6.293282554031069,,,0.0006328670165128604,10.0,0.0015207531382845749,4.581255249376951,0.017984999999999998,7.540450375312761,4.1389161866195465,10.0,0.08056337863818137,0.19119143110141582,0.7183613353082594,0.5248880536860228,-1.0,0.0,0.05373016085080425,0.007630679385305594,0.008487711436057255,277.50053732673,0.1536,2,4,True,symlog,0.2662547243759414,13413.794134927455,0.959835318255689,shape_change,90.74593398852849,-1662.3949411852632,43482.36358031151,p75,82699,15819952251764.084,571894041962.4517,False,False
Flow Packets/s,restructured,continuous,structural_change,0.8146725,0.7894849604633413,0.8398600395366588,0.05037507907331751,0.519061205552978,0.6146547083749244,0.529377889733899,0.6367693500346935,0.523820550306481,0.7595418070357806,True,1.0,0.0021418528042640205,10.0,,,0.0007442907785388579,10.0,0.0006490200050012935,10.0,0.02017999999999999,10.0,1.9754956044049017,10.0,0.07280551562757814,0.1790464301802278,0.6733908180068047,0.6586439857567694,1.0,1.0,0.07280551562757814,0.018944543072651365,0.014061246578732811,524.7101385006732,0.2616,3,4,True,log,0.03268978852206168,916.6780865208951,0.45302394348032793,shape_change,0.08327945817689208,-27.917483058139787,-14732.90511423693,p75,69762,11419660544.687239,7436873289.615097,False,False
Flow IAT Mean,restructured,continuous,structural_change,0.790415,0.7734209221450082,0.8074090778549917,0.03398815570998348,0.5122213027079019,0.5703276892502471,0.5133162204366302,0.5961276433409328,0.5053389325526226,0.7597129978040076,True,1.0,0.0025593527567637836,10.0,,,0.0009583826606392784,10.0,0.0005930645661416764,10.0,0.020169999999999997,10.0,2.484219051467128,10.0,0.07278335041675209,0.17084861266150564,0.6706797542172338,0.6843568952177335,-1.0,-1.0,0.07278335041675209,0.02009157800816075,0.02607363944819724,473.3098361304913,0.2568,3,4,True,log,0.564841162786562,397303.86969749955,0.7111070064037269,shape_change,1147.6666666666667,11814.712121212124,-2146.638888888934,p50,70588,16728943910993.436,6603075485641.539,False,False
Flow IAT Max,shifted,continuous,continuous_multimodal,0.8278762499999999,0.818028111081578,0.8377243889184217,0.01969627783684369,0.5249887610129585,0.6376427842695829,0.5096472543011019,0.6763974987560541,0.5184606474299452,0.8381064297571431,True,1.0,0.0023792720013600063,10.0,,,0.0010280139497241597,8.04964754136159,0.0007754896724181779,10.0,0.017955,10.0,2.5347095278740106,10.0,0.43801523420420957,0.2799799733624046,0.640996828515079,0.6208297700280514,-1.0,-1.0,0.06965174815874081,0.00930316391260666,0.016993574532872646,471.56223282183043,0.2445,4,4,False,log,1.598405282138082,2212764.9071933134,0.7594320483889611,shape_change,1085.0,43218.0,-1515505.25,p75,61899,208560720116044.56,519326787002817.7,False,False
Flow IAT Std,restructured,continuous,structural_change,0.7073,0.6872109067114888,0.7273890932885113,0.040178186577022545,0.51536769875763,0.39603695575046405,0.5192055106953205,0.498234161650047,0.5325927425428184,0.8029060877206443,True,0.8,0.04396893618468093,0.5865023818432448,,,0.0005118802460295052,10.0,0.01918603050762691,0.0,0.01783,5.876051598429614,2.704044043007204,10.0,0.13810681903409516,0.13660659166969985,0.5899208283052095,0.5762264942015809,-1.0,-1.0,0.06975682198410993,0.007204891448121309,0.014734684263421227,240.40677052129257,0.1226,3,4,True,symlog,0.8965624571714855,1030455.3086069176,0.5973752797508864,shape_change,-27.712812921102035,16933.23788222466,-369007.2997864429,p75,64419,36699696894597.91,33645609193051.004,False,False
Flow IAT Min,shifted,continuous,continuous_multimodal,0.806610625,0.7839871458688722,0.8292341041311279,0.045246958262255665,0.5171466509537949,0.5994863132211719,0.5165102686557417,0.6837613808779486,0.5193040062882487,0.8240194923473273,True,1.0,0.03076042879714399,4.148078485180654,,,0.0005345532413117745,10.0,0.006313884921230334,9.052080888820242,0.01874499999999999,10.0,1.2558643317208669,10.0,0.4998947406746754,0.09087824169049265,0.5669249097628339,0.7075951664762907,-1.0,-1.0,0.1583571016855084,0.09741265209141137,0.06346768195090974,919.8335763344584,0.3065,4,4,False,symlog,1.0987063587321602,-4199.994299402953,0.7749733737448053,shape_change,1.0,34.0,438.0,p75,12549,5863418687729.043,1974759657386.2998,False,False
Fwd IAT Total,shifted,continuous,continuous_multimodal,0.778018125,0.7647655942012572,0.7912706557987428,0.026505061597485557,0.5191992474866298,0.5383079709430632,0.5190251955248254,0.5775844220744693,0.5289809220500603,0.7652563236265532,True,1.0,0.04515489757448788,0.7019154815338503,,,0.0005057641807423291,10.0,0.016697274418604604,0.0680919026967985,0.019859999999999992,8.400805639476339,1.1553050471579827,10.0,0.5000177575736052,0.11002951209842113,0.5241106008994791,0.5546964255663269,0.0,-1.0,0.07684981924909623,0.015381318084103368,0.01783422360361797,299.7357549896143,0.1867,4,4,False,symlog,1.0490074319349638,354965.44591774297,0.9878135359202036,identical,-1.0,109696.5,-686167.75,p75,53766,961524472749367.8,1068001900260714.0,False,False
