feature,verdict,detected_type,route,c2st_auc,c2st_auc_ci_low,c2st_auc_ci_high,c2st_auc_ci_width,c2st_null_pooled,c2st_calibrated_pooled,c2st_null_benign,c2st_calibrated_benign,c2st_null_attack,c2st_calibrated_attack,c2st_shifted,e1_agreement_rate,wasserstein_qn_null,wasserstein_qn_calibrated,jensen_shannon_null,jensen_shannon_calibrated,mmd_null,mmd_calibrated,energy_distance_null,energy_distance_calibrated,ks_statistic_null,ks_statistic_calibrated,anderson_darling_null,anderson_darling_calibrated,marginal_shift_magnitude,separation_stability,sep_2017,sep_2018,dir_2017,dir_2018,wasserstein_qn,mmd,energy_distance,anderson_darling,ks_statistic,n_modes_2017,n_modes_2018,modality_mismatch,recommended_scale,qq_slope,qq_intercept,qq_r2,qq_shape_class,qshift_p25,qshift_p50,qshift_p75,qshift_dominant,cardinality,variance_2017,variance_2018,flip_detected,collapse_detected
Bwd IAT Min,shifted,continuous,continuous_multimodal,0.8502168749999999,0.8430751713218361,0.8573585786781637,0.014283407356327604,0.5233939867885703,0.6857296785016558,0.5190346822062838,0.7379956613544277,0.5268060471750838,0.8959491140872257,True,1.0,0.0723213047665238,0.6173152573692189,,,0.0008833888464740299,10.0,0.027523848662165517,0.314826010237677,0.018369999999999997,10.0,0.9676617222309228,10.0,0.4496131572691979,0.08194929653884389,0.5479854674103581,0.5230464250112948,0.0,0.0,0.11696634963174816,0.10119163816800669,0.03618907212286071,831.223296744234,0.217,4,4,False,symlog,0.1620317107051258,19406.08448990633,0.9934920083314368,scale_change,0.0,-2.0,26385.25,p75,18101,86631108983428.75,30412095654537.246,False,False
Bwd URG Flags,weak,binary,nominal,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,False,0.0,,,0.0,10.0,,,,,,,,,0.00040624895682417095,0.0,0.5,0.5,0.0,0.0,,,,,,1,1,False,categorical,,,,identical,0.0,0.0,0.0,none,1,1.9047972795680935e-06,0.0,False,False
Bwd PSH Flags,restructured,continuous,structural_change,0.6214575000000001,0.6052824385730405,0.6376325614269597,0.03235012285391914,0.5159987416633678,0.21788943007929892,0.5257973349160352,0.192887286004116,0.52038449109286,0.4485283105154764,True,1.0,0.1763689005295027,0.49560839809124685,,,0.0008039909213034989,10.0,0.11460840465116277,0.7578669813951352,0.014549999999999997,10.0,1.346952524278016,10.0,0.21529821259106294,0.10182932772799864,0.5387139346969471,0.5976277257620312,0.0,1.0,0.263778808794044,0.04954447210612112,0.20146633032665168,745.4200606670377,0.1931,4,3,True,symlog,0.7839966476124983,1.0649739975071997,0.7441308555954672,shape_change,0.0,1.0,4.0,p75,137,649.4856753415127,128.93753459448328,False,False
Bwd RST Flags,collapsed,discrete-count,discrete_count,0.5250462499999999,0.5097881196247869,0.540304380375213,0.030516260750426127,0.5126743562500485,0.02538732346352671,0.5146055838943204,0.10661698896513946,0.509797821801963,0.3579218147153055,True,1.0,,,0.01578769053227993,2.8301652722132435,,,,,,,,,0.0604694640051884,0.008951520875827531,0.6810463274516055,0.512360815325321,1.0,0.0,,,,,,2,2,False,categorical,0.8297872340425536,0.04255319148936175,0.7191489361702128,shape_change,0.0,0.0,0.0,none,5,0.1619623580789155,0.14930872765934808,False,True
Fwd RST Flags,flipped,discrete-count,discrete_count,0.56964125,0.5596613132327233,0.5796211867672767,0.01995987353455342,0.5129772208340206,0.11634780053412658,0.5161867575646454,0.16463763379936383,0.518555349821838,0.44182057085782633,True,1.0,,,0.023712584937595812,5.821865664344709,,,,,,,,,0.1617640689986424,-0.068890189854455,0.6993223196568364,0.5864055139096563,1.0,-1.0,,,,,,2,1,True,categorical,0.5156657963446476,0.0718015665796345,0.6445822454308094,shape_change,0.0,0.0,0.0,none,21,0.7543616178829536,0.16805645839870356,True,False
Bwd Header Length,restructured,continuous,structural_change,0.7834118749999999,0.7603270311410844,0.8064967188589154,0.04616968771783103,0.5228928591852734,0.5460388108420555,0.5222849038820792,0.5524045048238979,0.5389465069100033,0.8682677261743582,True,0.8,0.05385033487167435,0.408104837514588,,,0.00043921014334622464,10.0,0.01775673953488365,0.0,0.01453,10.0,1.3908876323272592,10.0,0.07582691703458516,0.6074278903130927,0.6255737592137428,0.6657619596902478,1.0,1.0,0.07582691703458516,0.006479173130242932,0.014875748931244603,309.55094565637324,0.1768,4,3,True,symlog,0.5685993237981632,39.815408345996026,0.9394896920301845,shape_change,-8.0,68.0,-20.0,p50,864,688329.6391778463,368758.3015346967,False,False
Fwd Header Length,shifted,continuous,continuous_multimodal,0.7799862500000001,0.7570777929627854,0.8028947070372148,0.04581691407442934,0.530395039880428,0.5314918523348232,0.5146596415707715,0.5335760336670837,0.5267880396824857,0.9616569813919633,True,0.8,0.05045264950324751,0.3850142039355751,,,0.0003077400460411938,10.0,0.017346031057764447,0.0,0.01568499999999999,10.0,2.296625588783303,10.0,0.5000257479787837,0.5874366952247019,0.6877762666836178,0.6475856391026688,1.0,1.0,0.06987763618818094,0.013059358462324422,0.01471715841079202,475.6031576939205,0.1865,4,4,False,symlog,0.5097047197699023,44.708849020303546,0.8925907584883663,shape_change,-8.0,68.0,-20.0,p50,770,463451.5500364912,219159.35569866898,False,False
Fwd Packets/s,shifted,continuous,continuous_multimodal,0.8058681249999999,0.7858346946279853,0.8259015553720146,0.04006686074402932,0.5098185868668131,0.6039591265626943,0.5108389941024194,0.6401619346639943,0.5300422541777665,0.7315636328553696,True,1.0,0.0026562864114320567,10.0,,,0.000607872479854565,10.0,0.00048401680420114256,10.0,0.014234999999999994,10.0,1.055143140070379,10.0,0.44202298207282686,0.18961852251134778,0.6759096603208044,0.6582480147893821,1.0,1.0,0.0711439502197511,0.02044323776224788,0.02030887352686761,520.002152519774,0.2618,4,4,False,symlog,0.014035364199668013,547.4163238880682,0.310906500201621,shape_change,0.035748766285066624,-15.61710471783698,-7337.688273871644,p75,69572,9280489808.226171,1932788869.6785805,False,False
Bwd Packets/s,restructured,continuous,structural_change,0.8222368750000001,0.8083359862505571,0.836137763749443,0.027801777498885905,0.524649578468609,0.6260377251222005,0.519049131502456,0.6202054888254501,0.519339695034968,0.7334083994946866,True,1.0,0.0021862934364671825,10.0,,,0.0009821570415371238,10.0,0.00115717109277319,9.822411154338619,0.017674999999999996,10.0,1.0099232378247336,10.0,0.06309977059885298,0.180856444960198,0.5711292249693605,0.6575768328265892,1.0,1.0,0.06309977059885298,0.015846183629119714,0.01252338134190678,392.47051621306287,0.2494,3,4,True,symlog,0.13882958122900724,116.88368252311334,0.9045340320213991,shape_change,0.3179403697792025,-11.695823502822414,-5665.389407367358,p75,68271,748565324.2223166,1848015941.9619038,False,False
FIN Flag Count,stable,discrete-count,discrete_count,0.51435125,0.500171952858171,0.5285305471418291,0.028358594283658167,0.5233788964457943,-0.018940928923361296,0.5237905406696846,0.12007995265514297,0.5148998606221015,0.7225508424454349,False,0.0,,,0.02293111970534891,2.321278115272032,,,,,,,,,0.07616062603605858,0.07016042858470399,0.5490850332427935,0.7929111416286192,0.0,1.0,,,,,,3,2,True,categorical,0.8484666986104457,-0.011619549592716874,0.8856011827671362,shape_change,0.0,0.0,-1.0,p75,13,0.9565704622147708,0.7516165499947342,False,False
Packet Length Min,restructured,continuous,structural_change,0.5687506250000001,0.5538739894819459,0.5836272605180542,0.029753271036108364,0.523804552155865,0.09438576754065599,0.5283937634610577,0.2032428838142125,0.5008441896973033,-0.0016912348406629477,True,0.6,0.16506298442992215,0.0,,,0.0005951829306029661,2.774411476067589,0.12977732088022007,0.0,0.014734999999999995,5.637258228707162,1.7327237620723428,10.0,0.08163126129077836,0.25935535924547093,0.8126682955097341,0.7073726077844344,-1.0,-1.0,0.16427518047590237,0.0022464652836273746,0.09588085572177857,214.19696599258523,0.0978,4,2,True,symlog,0.8432828874962038,-1.2295201222718197,0.8697059191498919,shape_change,0.0,0.0,-4.0,p75,119,683.2373230174418,552.7513611245055,False,False
Packet Length Mean,restructured,continuous,structural_change,0.716889375,0.7004833732955043,0.7332953767044958,0.0328120034089916,0.527303054302304,0.4010737163064774,0.5330050461215103,0.30289128973178164,0.5206439288691304,0.9837998818254671,True,1.0,0.009053040500202501,5.185461402156588,,,0.00043986391902648406,10.0,0.0015174384596147502,7.708480821207955,0.019309999999999997,7.990160538581048,2.181684760199893,10.0,0.08056337863818137,0.6743808534609435,0.5071448957648063,0.5652555802082257,0.0,-1.0,0.055997232586162946,0.05398391416355719,0.013214583722918394,363.06817615328777,0.1736,4,3,True,symlog,0.2748419839677156,49.984030744369555,0.7399357086069853,shape_change,2.0,-2.5,-60.139607279693536,p75,18844,86133.49084332617,16499.76135670308,False,False
Packet Length Std,shifted,continuous,continuous_multimodal,0.7679162500000001,0.7525382240235698,0.7832942759764303,0.030756051952860464,0.5177000388998856,0.5187979085243495,0.5213930092835403,0.41971177733060944,0.5281305769002312,0.9821534314627134,True,1.0,0.011782777068885347,7.483671516625529,,,0.001509139575014661,10.0,0.00229583160790186,9.45409059142284,0.019255,8.888340690729681,0.5221947333213809,10.0,0.4968001055203635,0.6982382312387725,0.5149974984495217,0.5553480876928321,0.0,1.0,0.09996121020605106,0.04383988037131514,0.024000831611658002,536.7665671089055,0.1904,4,4,False,symlog,0.23827576970486017,78.80217334076012,0.7933255629013678,shape_change,10.503061344987378,20.63719084252456,-146.53937619648758,p75,22984,438408.14289597416,57379.7417088597,False,False
RST Flag Count,flipped,discrete-count,discrete_count,0.5942537499999999,0.5811343423991591,0.6073731576008408,0.026238815201681698,0.517639531654527,0.15883187651812455,0.5146408898159781,0.26715087337056515,0.5225999614737137,0.8103071476920007,True,1.0,,,0.022382034558736053,5.87998626463105,,,,,,,,,0.15398809033860153,-0.10531567369594094,0.8786688484015611,0.5695301938227161,1.0,-1.0,,,,,,2,2,False,categorical,0.5839694656488553,0.13358778625954207,0.6521702791552906,shape_change,0.0,0.0,0.0,none,21,0.8633415800986646,0.2772441966792519,True,False
SYN Flag Count,restructured,discrete-count,structural_change,0.5886931249999999,0.5611224186985142,0.6162638313014857,0.05514141260297145,0.5319363413894664,0.12125868472467691,0.5184635939604255,0.17188244751897808,0.5162708440322995,0.3447792611013028,True,1.0,0.21919139358196787,0.16292887760980365,,,0.0002462517747252146,10.0,0.1464070098024505,0.20041340870105562,0.0108,10.0,2.2686066998604995,10.0,0.4255474557372787,0.2278070195764453,0.7825284176780092,0.701578854835827,1.0,1.0,0.2549040013200066,0.004546201155645635,0.17574893769468847,177.3235489816474,0.1217,3,2,True,symlog,0.8719597989949753,0.2806030150753769,0.7627670110990523,shape_change,0.0,2.0,0.0,p50,15,1.1383761288000533,2.6086224880205866,False,False
Packet Length Max,restructured,continuous,structural_change,0.784796875,0.7676046572276026,0.8019890927723973,0.034384435544794645,0.5235195564460916,0.5483484623316922,0.5212898099472832,0.3971234976881978,0.5142686601085897,0.9899661611270758,True,1.0,0.012941675513377566,5.333865716957789,,,0.00012448924415289208,10.0,0.001375536984246117,10.0,0.017674999999999996,9.755304101838757,1.4506113848364763,10.0,0.08056337863818137,0.7517681806047963,0.5036403898931683,0.5332416033097667,0.0,0.0,0.08197083485417427,0.030695649966337557,0.017268739643698183,456.8803414151623,0.1901,4,3,True,symlog,0.22085395040973285,280.15198365565703,0.6890208033711167,shape_change,11.0,32.0,-287.0,p75,2668,5136595.550880364,1070569.4833012682,False,False
URG Flag Count,weak,low-cardinality-discrete,nominal,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0009999999999998899,False,1.0,,,0.005887156282153627,0.0,,,,,,,,,0.003410207761213574,1.488212578221045e-06,0.5001614380905103,0.5009207980471755,0.0,0.0,,,,,,1,1,False,categorical,,,,identical,0.0,0.0,0.0,none,3,0.0026875802379092597,0.0005588040840572558,False,False
Packet Length Variance,shifted,continuous,continuous_multimodal,0.785004375,0.7569254701958118,0.8130832798041882,0.05615780960837635,0.5230447069691068,0.549233171029985,0.5113967481217806,0.4262919374309308,0.511634441313476,0.9813254644235592,True,1.0,0.011952354471772359,7.237682870856856,,,0.00033146500354357393,10.0,0.002608531832958316,9.660722754199881,0.015354999999999999,10.0,1.3837854096226527,10.0,0.49696229557019644,0.6981158331896401,0.5149974703660205,0.5553693565458806,0.0,1.0,0.09845970569852851,0.049253179896806554,0.027808834666673443,555.4665332815215,0.1926,4,4,False,symlog,0.05926845593623769,24168.945867182905,0.8665234221023594,shape_change,384.0,2634.4636363636364,-111763.61994152048,p75,23264,2439916449841.937,2392796799594.375,False,False
PSH Flag Count,shifted,continuous,continuous_multimodal,0.6319125000000001,0.6116720460298968,0.6521529539701034,0.040480907940206645,0.526003419459855,0.22343849067319418,0.5153545517576701,0.26153102995605393,0.529729970120214,0.4302209731109266,True,1.0,0.163090163805819,0.5995040812363543,,,0.0003946051485929746,10.0,0.11974518854713664,0.5896762560149382,0.014739999999999998,10.0,3.8129228677976426,10.0,0.3864314541405016,0.11441330843116093,0.5368528638108269,0.5851913042585384,0.0,1.0,0.26086338261691305,0.04454080577767594,0.19035608300541504,787.4706965936582,0.1841,4,4,False,symlog,0.8453852684765278,2.0656471530236833,0.7445351580129871,shape_change,0.0,2.0,8.0,p75,179,796.4011385461553,214.4061609150962,False,False
CWR Flag Count,restructured,low-cardinality-discrete,structural_change,0.6475,0.6319404464041303,0.6630595535958697,0.03111910719173938,0.5172428731449313,0.2698191691205708,0.5126529751981481,0.2700273482850486,0.5142573937131656,0.40709339417112217,True,1.0,0.37656384980424906,0.3270466635306948,,,0.0002671206670794566,10.0,0.42380591442860716,0.56711470331375,0.011309999999999999,10.0,1.1705530372579693,10.0,0.37405769089491175,5.057364745212853e-05,0.5002043362271111,0.5618755276133958,0.0,1.0,0.4997178004890024,0.06295775413701099,0.6641524798523992,4344.059267993207,0.3009,1,2,True,categorical,,,,identical,0.0,0.0,1.0,p75,9,0.0009464826194026503,0.2642361690024292,False,False
ECE Flag Count,restructured,low-cardinality-discrete,structural_change,0.6405,0.6254280325198641,0.6555719674801358,0.03014393496027168,0.5185062353814457,0.2533652013441946,0.5165992775872288,0.24818714960530544,0.5131138427402373,0.4079724886361611,True,1.0,0.3715528970694853,0.3451378204589897,,,0.0008743905131303406,10.0,0.4447326350587647,0.49283319018845106,0.011289999999999994,10.0,3.974605249334676,10.0,0.29103277580738485,2.5700872191156457e-05,0.5001460141608112,0.5388652312429719,0.0,0.0,0.4997898541492708,0.09096744880843555,0.6639116383756919,4223.135330684749,0.2877,1,2,True,categorical,,,,identical,0.0,0.0,1.0,p75,5,0.0030604700902672147,0.5119072155932524,False,False
Down/Up Ratio,flipped,continuous,structural_change,0.6191937500000001,0.5974953066514123,0.6408921933485879,0.043396886697175674,0.51975610207352,0.2070565567950286,0.515159298099181,0.2076727500518635,0.5198425531922366,0.5551810631700762,True,0.8,0.1791088656793284,0.030778835028083082,,,3.827037362267291e-05,10.0,0.14412733163290817,0.0,0.014789999999999989,4.4225828262339455,4.190586671441889,10.0,0.18462162790813955,-0.07115557284249949,0.6518617121653019,0.551995358323093,-1.0,1.0,0.18462162790813955,0.0079580664126222,0.14221766032330158,47.8492992993116,0.0802,4,3,True,symlog,0.8611426253631043,0.15071590275908092,0.9467036732833466,shape_change,0.017857142857142905,0.0,0.0,p25,1458,0.06843224810378194,0.1129812327102123,True,False
ACK Flag Count,shifted,continuous,continuous_multimodal,0.6973493749999999,0.6735494881308878,0.7211492618691121,0.04759977373822433,0.5262901839904849,0.36110543887500757,0.5214066650806544,0.27769313783223243,0.5237359786106551,0.9506563083823872,True,1.0,0.10897622343111714,0.5045825837622191,,,0.0004359895203798197,10.0,0.06891397279319832,0.16936372659615104,0.01765,9.011331444759207,1.6710040955109942,10.0,0.39863876609190296,0.3707220314981956,0.6541635230298163,0.6265881209003952,1.0,1.0,0.1639637278186391,0.013617143350024286,0.08058550004000015,197.12088150068502,0.1767,4,4,False,symlog,0.6596876144286709,3.578966701509864,0.9226366255792711,shape_change,0.0,7.0,2.0,p50,509,4112314.3628804637,66453.20872766238,False,False
Average Packet Size,restructured,continuous,structural_change,0.697305,0.6834790386784215,0.7111309613215784,0.027651922643156857,0.511625233312046,0.3801993455705987,0.526273019048438,0.30817746681498276,0.5250894203258004,0.9832731669076534,True,1.0,0.00862415560577803,5.440242528909918,,,0.0008420369788819878,10.0,0.0012785958489621883,7.79198330816682,0.01967499999999999,8.133418043202036,0.7075211251807543,10.0,0.08056337863818137,0.6743706230228449,0.5071447974221028,0.5652567308172624,0.0,-1.0,0.055541653708268544,0.04764072611544945,0.011241393361966945,345.19570573107075,0.1797,4,3,True,symlog,0.27534906375298474,49.70341996869057,0.7422357608051975,shape_change,2.0,-2.5,-60.611111111111114,p75,17386,86133.49084332616,16499.76135670308,False,False
Fwd Segment Size Avg,shifted,continuous,continuous_multimodal,0.702234375,0.685386684022618,0.7190820659773819,0.03369538195476385,0.5195477207872085,0.3802389167809107,0.5198047581346351,0.32556078910335545,0.5118009816261391,0.9011929598697803,True,1.0,0.011348273386366932,8.82170080874412,,,0.0007945539932799892,10.0,0.0016272293073268103,10.0,0.018375,9.17687074829932,0.837249694240272,10.0,0.4986761326492714,0.4674062410147833,0.8149932637938758,0.5435267589518332,-1.0,0.0,0.11145934589672947,0.03236988672980634,0.031710578932894584,516.0805096468907,0.187,4,4,False,symlog,0.9709911822923135,18.363061979527735,0.8320640258249976,shape_change,5.52,4.25,33.68571428571428,p75,10351,8410.429869225361,30697.919795823564,False,False
Fwd Bytes/Bulk Avg,weak,continuous,continuous_multimodal,0.5187349999999998,0.507305176407524,0.5301648235924756,0.022859647184951593,0.505433043190933,0.026896169721670745,0.5064065499353724,0.03021530180895809,0.502479043183119,0.015067871441725129,True,0.6,0.4770100142800714,0.0,,,3.5807580364810447e-06,10.0,0.6285800541635409,0.0,0.004119999999999999,7.276699029126216,6.7506776205668455,10.0,0.4743139010112813,0.00030784469167840096,0.5211375559483882,0.5011261820793496,0.0,0.0,0.4606820575102875,0.0013403656130308583,0.5721637977339886,341.2694194365172,0.0341,3,3,False,symlog,,,,identical,0.0,0.0,0.0,none,653,7051096.883168818,2328969384.6911654,False,False
Bwd Segment Size Avg,shifted,continuous,continuous_multimodal,0.7093612499999999,0.683485671412944,0.7352368285870559,0.05175115717411183,0.5299897235826533,0.38163320126658956,0.5236997223657194,0.3153098154387294,0.5305728434362288,0.9784777577122821,True,1.0,0.01273302777013885,3.7037690522100157,,,0.0009285414667798087,10.0,0.0020811584396098425,6.052904550271031,0.021174999999999996,7.453364817001182,2.2488218229975923,10.0,0.4939570826086875,0.7574330253534359,0.5029968178534384,0.5656054367602118,0.0,-1.0,0.05989322196610983,0.058003472099910525,0.014678211828559218,398.2400585386729,0.179,4,4,False,symlog,0.18870699188668646,73.00342632218143,0.7875333215758156,shape_change,3.0,3.0,-137.2767857142857,p75,12284,449960.3712410878,26573.05136327154,False,False
Fwd Packet/Bulk Avg,weak,discrete-count,structural_change,0.5212393750000001,0.51698377231185,0.5254949776881501,0.008511205376300124,0.5070473138449292,0.028789905306665486,0.5056627138446286,0.03349390511110982,0.5017661154359688,0.004987887498269561,True,0.6,0.4766544441622208,0.0,,,5.9122188529103754e-05,10.0,0.6295466458614655,0.0,0.0052,5.634615384615386,3.919687047653196,10.0,0.3014305378263825,0.0002129632226983552,0.5212190918703814,0.5011283013856929,0.0,0.0,0.4606732195660978,0.0009391567705316906,0.5935064221146105,303.74175256560164,0.0345,2,3,True,symlog,,,,identical,0.0,0.0,0.0,none,32,23.756283861096282,585839.7892877492,False,False
Subflow Fwd Packets,weak,binary,nominal,0.5087499999999999,0.5047929569023958,0.5127070430976041,0.00791408619520828,0.5095978878915033,-0.0017289645998012663,0.5063717876143579,-0.006324167736018516,0.5093651606221797,0.042566971812080384,False,0.0,,,0.008109436308714774,3.4153608402704103,,,,,,,,,0.03580608751416624,0.0004879924016304407,0.5451524369079763,0.5027019161923918,0.0,0.0,,,,,,1,1,False,categorical,0.5000000000000001,-1.0733490286031426e-18,0.4948979591836735,shape_change,0.0,0.0,0.0,none,2,0.025533887300728416,0.01227529536835648,False,False
Bwd Bytes/Bulk Avg,collapsed,continuous,structural_change,0.550739375,0.5360644715483953,0.5654142784516047,0.02934980690320943,0.5113738474094653,0.08056369349416041,0.5058368522278118,0.015995522547205765,0.5097499957764489,0.24732280097699266,True,0.6,0.40705446397731987,0.0,,,0.00027188164041513907,9.467222874889442,0.5086368589147287,0.0,0.008924999999999995,8.490196078431378,2.886955694662076,10.0,0.18237833849169244,0.008864136269725473,0.5551459705052607,0.5327071057968649,1.0,0.0,0.37822885114425564,0.00284584572581581,0.4339794606848034,412.66288703447725,0.0847,3,4,True,symlog,0.29949405001917095,-164.02148756054203,0.8303554429529854,shape_change,0.0,0.0,0.0,none,4167,91579981213.895,21268240592.40444,False,True
Fwd Bulk Rate Avg,weak,continuous,continuous_multimodal,0.5167075000000001,0.5072518217732731,0.5261631782267271,0.018911356453453987,0.50430725494098,0.02501599061641219,0.5082633370380661,0.03256654255851875,0.5026147569232138,0.007291115141159206,True,0.6,0.47654598914494567,0.0,,,4.5982772023878116e-05,10.0,0.6188289436859216,0.0,0.004,7.6,2.6619354394726926,10.0,0.4991309697945967,0.0003828786235795783,0.5214994015355453,0.5011373913108634,0.0,0.0,0.4597901376506883,0.0005618842068286778,0.5806079297346486,339.9495125905164,0.0344,4,4,False,symlog,,,,identical,0.0,0.0,0.0,none,2162,17142616378001.055,16205651922903.504,False,False
Bwd Packet/Bulk Avg,collapsed,continuous,structural_change,0.535801875,0.5215582010570065,0.5500455489429935,0.028487347885987058,0.5114266458819713,0.04989062320443323,0.5116514824156109,0.0037225311819954377,0.5109539014416266,0.23626831682940358,True,0.6,0.40743573023365115,0.0,,,0.00020439683564790198,10.0,0.49922288352088007,0.0,0.007459999999999996,10.0,1.2934702666123157,10.0,0.17836059000294996,0.006270037569508751,0.5479247946709287,0.5327076913555989,0.0,0.0,0.3765229893149466,0.004959889214013025,0.4083048113065564,432.87684390926506,0.0879,4,3,True,symlog,0.4709840467540674,-0.08238824830200606,0.8882298593455682,shape_change,0.0,0.0,0.0,none,192,12329.58879252668,10274.161541939302,False,True
Bwd Bulk Rate Avg,collapsed,continuous,continuous_multimodal,0.55796625,0.5441235628589614,0.5718089371410386,0.02768537428207729,0.5118708062082027,0.09443287633285562,0.5033972564110983,0.07397561544547768,0.5158542714030157,0.23473454764605825,True,0.6,0.40605335902179507,0.0,,,0.00020226948354511441,10.0,0.4888279719929982,0.0,0.010679999999999995,6.406367041198505,2.4953855240315823,10.0,0.5000568347900514,0.008296535956093847,0.5634120241444117,0.5327088437407379,1.0,0.0,0.3782750780753904,0.0033827675849444905,0.40922280323901616,341.8428426639228,0.0791,4,4,False,symlog,1.9353487326820764,-1175237.7079719147,0.34059445868030536,shape_change,0.0,0.0,0.0,none,7002,94165476641607.02,3.364678975201324e+16,False,True
Subflow Bwd Packets,weak,binary,nominal,0.501,0.4992997815483544,0.5027002184516456,0.0034004369032911708,0.5008366872626269,0.00032717295763893205,0.5,0.0024999999999999467,0.5,0.0,True,1.0,,,0.008861842279205417,0.8421156645883191,,,,,,,,,0.016324538479635352,0.0,0.5,0.5004416666666667,0.0,0.0,,,,,,1,1,False,categorical,,,,identical,0.0,0.0,0.0,none,2,1.5714338091532064e-05,0.0008659933337284196,False,False
Subflow Fwd Bytes,shifted,continuous,continuous_multimodal,0.698304375,0.6890781138148556,0.7075306361851443,0.018452522370288715,0.5241064038644253,0.3660439487946973,0.5199694684475149,0.34892292373734546,0.5238240875873204,0.889258363085155,True,1.0,0.02026412000560003,4.452300065326356,,,0.0011516760288581493,10.0,0.002496024506126653,8.258732177263049,0.016259999999999997,9.719557195571959,1.2709738199459033,10.0,0.35358691038170353,0.3390795100080295,0.800874394405363,0.5434602416720227,-1.0,0.0,0.11048606283031417,0.03817576886978791,0.023110022410111952,458.70964286244197,0.1743,4,4,False,symlog,0.9181550074063807,10.55966841364153,0.7969451695033389,shape_change,3.0,1.0,16.0,p75,495,2105.0085648696318,5580.249503379697,False,False
Fwd Seg Size Min,restructured,low-cardinality-discrete,structural_change,0.700080625,0.6858422570538288,0.7143189929461712,0.028476735892342342,0.5235945647852988,0.370453498573467,0.5161339753349131,0.3679164594958015,0.5134283885301697,0.5703522974377999,True,0.8,0.18256684083420413,0.0391465405308269,,,0.0003298385499191702,10.0,0.10590319949987505,0.0,0.013649999999999997,10.0,2.7121002544797888,10.0,0.18971370106850532,0.4967123534433096,0.8406330623864048,0.8645508967651625,1.0,1.0,0.18971370106850532,0.022371155477766136,0.0861935118200591,338.85977565059625,0.2065,1,3,True,categorical,0.5684105630293972,6.071416708188002,0.6858441372556088,shape_change,0.0,0.0,-4.0,p75,9,99.99096405107825,51.40295930749872,False,False
FWD Init Win Bytes,shifted,continuous,continuous_multimodal,0.7557843750000001,0.7457261638642757,0.7658425861357244,0.02011642227144872,0.5245766887027321,0.486319624644364,0.5265869362319348,0.43752212311053124,0.5292861983723982,0.9546858411071724,True,1.0,0.15943020953604764,0.15558285603600333,,,0.0005477280621210883,8.584123475946011,0.0893303206301575,0.05749390665969705,0.012584999999999999,10.0,2.1820500171266426,10.0,0.5000235993769765,0.3955908808628803,0.7676772145270065,0.8286989555408286,1.0,1.0,0.18423481687408438,0.005249493378609138,0.09446626974634859,360.69705201428513,0.2204,4,4,False,symlog,0.5259114649778704,1142.8634715302933,0.6048649392742882,shape_change,0.0,7680.0,-21008.0,p75,605,236089317.46051937,126753414.70823501,False,False
Fwd Act Data Pkts,shifted,continuous,continuous_multimodal,0.6802650000000001,0.667727567516903,0.6928024324830973,0.025074864966194266,0.5189920791407233,0.3352812165154733,0.5080219221417982,0.4121231961002949,0.5236777394698995,0.44271185288594056,True,1.0,0.12012772271361355,0.15126696295658376,,,0.0015341292613413537,10.0,0.05702678729682423,0.04659043854773393,0.014999999999999994,10.0,2.2466746277374092,10.0,0.4555765641597707,0.15300857653608094,0.6929354194497921,0.543945088022521,-1.0,0.0,0.1382990784953925,0.021938839438218727,0.05968369032595161,345.4484380327046,0.1936,4,4,False,symlog,1.0177340712243088,0.6719608286872255,0.8410672697860901,shape_change,0.0,0.0,3.0,p75,106,126.75879923473384,593411.9517598768,False,False
Subflow Bwd Bytes,shifted,continuous,continuous_multimodal,0.7229875,0.6948952304162813,0.7510797695837187,0.056184539167437375,0.5181379747640027,0.4251207078118886,0.5210706663253153,0.2670669756084844,0.5180070834789975,0.983762728181797,True,1.0,0.013898740998704995,3.4717172125149807,,,0.0008026511254843414,10.0,0.002395285421355386,5.027670727144138,0.017044999999999994,9.079202112056326,3.932102730184188,10.0,0.4820546154385399,0.612342558433523,0.5070855905069023,0.56025613573973,0.0,-1.0,0.06215123935619678,0.054797193549431134,0.014437991817458973,350.7205721829975,0.1718,4,4,False,symlog,0.217652836407489,32.913976373984326,0.6886931567593766,shape_change,3.0,0.0,-70.0,p75,1176,84291.40855332479,9477.8901883813,False,False
Bwd Init Win Bytes,restructured,continuous,structural_change,0.7364531249999999,0.718953571006961,0.7539526789930389,0.03499910798607786,0.5117506306923219,0.4602207569183325,0.523057049466836,0.35248413955009117,0.5395127558778382,0.9832609369784083,True,1.0,0.17196876607383035,0.28071850398314907,,,0.000638010738169514,10.0,0.1447964650162541,0.1878168979065384,0.018854999999999997,7.029700344736146,2.6593360193192015,10.0,0.14971398626993135,0.23367224708594117,0.5666962235258348,0.6576412105968924,1.0,1.0,0.22024358081790413,0.019793897669214466,0.17199168790343955,297.57488245252546,0.1514,4,3,True,symlog,2.704993848621743,8569.307925356421,0.14082809440512534,shape_change,0.0,0.0,8.0,p75,2215,19563551.16309019,517186553.14288133,False,False
